,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Norwood Hills, Together  ,unknown,0.00559,https://api.spotify.com/v1/audio-analysis/7imgZBaBs3F4LfabAa7ZTm,9A,0.727,193904.0,0.798,7imgZBaBs3F4LfabAa7ZTm,0.0612,4.0,0.0883,-8.178,0.0,0.0558,122.007,4.0,https://api.spotify.com/v1/tracks/7imgZBaBs3F4LfabAa7ZTm,audio_features,spotify:track:7imgZBaBs3F4LfabAa7ZTm,0.654
1,Bodyrox   Luciana, Yeah Yeah ,Chocolate Puma Remix,0.069,https://api.spotify.com/v1/audio-analysis/4HVGC52IogHANcKFA0QYiT,8B,0.778,161627.0,0.618,4HVGC52IogHANcKFA0QYiT,0.0,0.0,0.362,-7.667,1.0,0.0827,126.065,4.0,https://api.spotify.com/v1/tracks/4HVGC52IogHANcKFA0QYiT,audio_features,spotify:track:4HVGC52IogHANcKFA0QYiT,0.693
2,Damien N,Drix & STV ,SPINNIN',,,,,,,,,,,,,,,,,,,
3,Jonh Mayze Miguel Faria   Totó La Momposina, Libertad  ,unknown,0.266,https://api.spotify.com/v1/audio-analysis/0yRG7ZkF4XzmS5ium1FxRb,5A,0.597,224480.0,0.492,0yRG7ZkF4XzmS5ium1FxRb,0.00225,0.0,0.0855,-8.791,0.0,0.0253,80.046,4.0,https://api.spotify.com/v1/tracks/0yRG7ZkF4XzmS5ium1FxRb,audio_features,spotify:track:0yRG7ZkF4XzmS5ium1FxRb,0.284
4,Kid Massive Noriyuki Omoto, Check This Out  ,unknown,3.83e-05,https://api.spotify.com/v1/audio-analysis/0RjFLYFarE3D1cs9srQlMt,9B,0.723,300000.0,0.987,0RjFLYFarE3D1cs9srQlMt,0.0126,7.0,0.0584,-4.091,1.0,0.0663,127.958,4.0,https://api.spotify.com/v1/tracks/0RjFLYFarE3D1cs9srQlMt,audio_features,spotify:track:0RjFLYFarE3D1cs9srQlMt,0.693
5,Stadiumx Taylr Renee, Howl At The Moon ,Nicky Romero Remix,0.00195,https://api.spotify.com/v1/audio-analysis/1FVWDhRPePNNI75mHtKq2Z,3A,0.573,157500.0,0.931,1FVWDhRPePNNI75mHtKq2Z,0.777,10.0,0.094,-4.288,0.0,0.0498,128.013,4.0,https://api.spotify.com/v1/tracks/1FVWDhRPePNNI75mHtKq2Z,audio_features,spotify:track:1FVWDhRPePNNI75mHtKq2Z,0.286
6,Skyblast Aury x Haesën   Nathan Brumley, Don't Lose Hope  ,unknown,,,,,,,,,,,,,,,,,,,
7,Arensky, Sunrise  ,unknown,0.0249,https://api.spotify.com/v1/audio-analysis/2DNWrcdxiWqM78h1HfdiUa,12A,0.627,172553.0,0.668,2DNWrcdxiWqM78h1HfdiUa,1.07e-06,1.0,0.37,-4.71,0.0,0.0453,127.995,4.0,https://api.spotify.com/v1/tracks/2DNWrcdxiWqM78h1HfdiUa,audio_features,spotify:track:2DNWrcdxiWqM78h1HfdiUa,0.123
8,Hotsauce   Angelina Danilova, Take U Higher ,Dmitry Kostyuchenko Remix,0.00223,https://api.spotify.com/v1/audio-analysis/33jV5M9HEvqhigEeTvqKO0,2A,0.813,297173.0,0.662,33jV5M9HEvqhigEeTvqKO0,0.0771,3.0,0.915,-7.784,0.0,0.0972,125.98,4.0,https://api.spotify.com/v1/tracks/33jV5M9HEvqhigEeTvqKO0,audio_features,spotify:track:33jV5M9HEvqhigEeTvqKO0,0.914
9,DJ Snake Yellow Claw   Elliphant, Good Day ,3l3ctronic & Jazzam Chill Remix,0.00075,https://api.spotify.com/v1/audio-analysis/0FIDBoAel6eFnkpSkHuhYu,11A,0.693,442894.0,0.999,0FIDBoAel6eFnkpSkHuhYu,0.621,6.0,0.391,-6.157,0.0,0.29,153.984,4.0,https://api.spotify.com/v1/tracks/0FIDBoAel6eFnkpSkHuhYu,audio_features,spotify:track:0FIDBoAel6eFnkpSkHuhYu,0.0867
10,Matt Nash   Takura, Higher Love  ,unknown,0.0136,https://api.spotify.com/v1/audio-analysis/3NYqo9wZR3dhwG0bPDyHYl,7B,0.589,179032.0,0.629,3NYqo9wZR3dhwG0bPDyHYl,6.53e-05,5.0,0.58,-6.365,1.0,0.205,123.823,4.0,https://api.spotify.com/v1/tracks/3NYqo9wZR3dhwG0bPDyHYl,audio_features,spotify:track:3NYqo9wZR3dhwG0bPDyHYl,0.415
11,DubVision, Fall Apart  ,unknown,0.0541,https://api.spotify.com/v1/audio-analysis/76Vvmk6PXTw9WOt2ghhBoB,1B,0.574,163333.0,0.911,76Vvmk6PXTw9WOt2ghhBoB,3.34e-06,11.0,0.758,-2.832,1.0,0.075,126.019,4.0,https://api.spotify.com/v1/tracks/76Vvmk6PXTw9WOt2ghhBoB,audio_features,spotify:track:76Vvmk6PXTw9WOt2ghhBoB,0.648
12,Antheros Adam Juhl, Apocrypha  ,FREE,0.00735,https://api.spotify.com/v1/audio-analysis/6JAVv0WLIJkNPGvmneQ5EJ,12A,0.654,256940.0,0.844,6JAVv0WLIJkNPGvmneQ5EJ,0.341,1.0,0.0919,-4.04,0.0,0.0852,128.003,4.0,https://api.spotify.com/v1/tracks/6JAVv0WLIJkNPGvmneQ5EJ,audio_features,spotify:track:6JAVv0WLIJkNPGvmneQ5EJ,0.366
13,TEXTOR, To The Sky  ,unknown,,,,,,,,,,,,,,,,,,,
14,Steven Roys, INCHI  ,unknown,,,,,,,,,,,,,,,,,,,
15,Manuel Alvarez, Keep It  ,unknown,0.000218,https://api.spotify.com/v1/audio-analysis/0RMXXeSH6WSPIDVzRshcDT,3B,0.758,245682.0,0.96,0RMXXeSH6WSPIDVzRshcDT,0.801,1.0,0.0174,-2.533,1.0,0.17,127.998,4.0,https://api.spotify.com/v1/tracks/0RMXXeSH6WSPIDVzRshcDT,audio_features,spotify:track:0RMXXeSH6WSPIDVzRshcDT,0.366
16,Jeremy Prisme, Pokaya  ,unknown,0.000275,https://api.spotify.com/v1/audio-analysis/6N1SH2U6KyUGP17npU4Llf,10A,0.702,241366.0,0.901,6N1SH2U6KyUGP17npU4Llf,0.567,11.0,0.0537,-4.912,0.0,0.089,128.013,4.0,https://api.spotify.com/v1/tracks/6N1SH2U6KyUGP17npU4Llf,audio_features,spotify:track:6N1SH2U6KyUGP17npU4Llf,0.473
17,Andrew Storm Samuel Vasell, Move  ,unknown,0.0362,https://api.spotify.com/v1/audio-analysis/6N1OeC2Ig7ZfKsClJkhA6f,9B,0.588,225048.0,0.992,6N1OeC2Ig7ZfKsClJkhA6f,0.894,7.0,0.0744,-3.068,1.0,0.0956,128.02,4.0,https://api.spotify.com/v1/tracks/6N1OeC2Ig7ZfKsClJkhA6f,audio_features,spotify:track:6N1OeC2Ig7ZfKsClJkhA6f,0.526
18,Oruz, Rockin'  ,unknown,0.000497,https://api.spotify.com/v1/audio-analysis/3zI3PuYPjyDstwnQ2xN1qc,11B,0.679,253293.0,0.986,3zI3PuYPjyDstwnQ2xN1qc,0.623,9.0,0.0527,-3.801,1.0,0.0995,127.979,4.0,https://api.spotify.com/v1/tracks/3zI3PuYPjyDstwnQ2xN1qc,audio_features,spotify:track:3zI3PuYPjyDstwnQ2xN1qc,0.598
19,Marcus Santoro, Flashpoint  ,unknown,0.00456,https://api.spotify.com/v1/audio-analysis/4yKPdEJmnaQABxXnvfi90o,3B,0.666,197538.0,0.804,4yKPdEJmnaQABxXnvfi90o,1.24e-05,1.0,0.103,-4.54,1.0,0.0639,129.95,4.0,https://api.spotify.com/v1/tracks/4yKPdEJmnaQABxXnvfi90o,audio_features,spotify:track:4yKPdEJmnaQABxXnvfi90o,0.266
20,Valiant, Regera  ,unknown,0.00306,https://api.spotify.com/v1/audio-analysis/7CgnO5Bsfu30a6bdxSgduT,2B,0.534,393750.0,0.576,7CgnO5Bsfu30a6bdxSgduT,0.903,6.0,0.0365,-7.781,1.0,0.0541,127.991,4.0,https://api.spotify.com/v1/tracks/7CgnO5Bsfu30a6bdxSgduT,audio_features,spotify:track:7CgnO5Bsfu30a6bdxSgduT,0.348
21,Valiant, Moira  ,unknown,0.00487,https://api.spotify.com/v1/audio-analysis/4lA9mMR4T2jAc1aYvzVCmx,2A,0.655,360116.0,0.648,4lA9mMR4T2jAc1aYvzVCmx,0.906,3.0,0.0624,-9.132,0.0,0.0505,128.994,4.0,https://api.spotify.com/v1/tracks/4lA9mMR4T2jAc1aYvzVCmx,audio_features,spotify:track:4lA9mMR4T2jAc1aYvzVCmx,0.471
22,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
23,ID, ID  ,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
24,Bob Sinclar Daddy's Groove, Burning  ,unknown,0.00368,https://api.spotify.com/v1/audio-analysis/2uukIpWhy3xuVUqszUriov,1B,0.592,171357.0,0.974,2uukIpWhy3xuVUqszUriov,0.00595,11.0,0.127,-4.885,1.0,0.119,125.057,4.0,https://api.spotify.com/v1/tracks/2uukIpWhy3xuVUqszUriov,audio_features,spotify:track:2uukIpWhy3xuVUqszUriov,0.414
25,Nocturnal Zen, Hydrogen ,Valiant Remix,,,,,,,,,,,,,,,,,,,
