,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Purple Disco Machine,Boris Dlugosch,Karen Harding",Love For Days,Kenny Dope Remix,0.0167,https://api.spotify.com/v1/audio-analysis/0wwfjII3uN6YXJwRJH6psj,4A,0.763,462872.0,0.847,0wwfjII3uN6YXJwRJH6psj,0.0125,5.0,0.0993,-4.442,0.0,0.0465,121.991,4.0,https://api.spotify.com/v1/tracks/0wwfjII3uN6YXJwRJH6psj,audio_features,spotify:track:0wwfjII3uN6YXJwRJH6psj,0.809
1,"Joey Negro,Angela Johnson",In Search Of The Dream,unknown,0.000468,https://api.spotify.com/v1/audio-analysis/0jQqTZKTAw4GM8KeOpzCil,3A,0.73,489756.0,0.723,0jQqTZKTAw4GM8KeOpzCil,0.538,10.0,0.0381,-6.727,0.0,0.0347,123.003,4.0,https://api.spotify.com/v1/tracks/0jQqTZKTAw4GM8KeOpzCil,audio_features,spotify:track:0jQqTZKTAw4GM8KeOpzCil,0.803
2,"Rhemi,Cassius",Beat Within',Opolopo Remix,0.0097,https://api.spotify.com/v1/audio-analysis/6ldAukTxcyQ0jlwOGMbvk0,2B,0.838,344390.0,0.806,6ldAukTxcyQ0jlwOGMbvk0,0.0302,6.0,0.0235,-5.026,1.0,0.0596,123.071,4.0,https://api.spotify.com/v1/tracks/6ldAukTxcyQ0jlwOGMbvk0,audio_features,spotify:track:6ldAukTxcyQ0jlwOGMbvk0,0.938
3,"Amp Fiddler,Neco Redd",So Sweet,Louie Vega Remix,0.00196,https://api.spotify.com/v1/audio-analysis/2UCIjMCs3kCLdfvx7Zmzwa,10A,0.821,644361.0,0.645,2UCIjMCs3kCLdfvx7Zmzwa,0.63,11.0,0.0333,-5.791,0.0,0.0394,122.002,4.0,https://api.spotify.com/v1/tracks/2UCIjMCs3kCLdfvx7Zmzwa,audio_features,spotify:track:2UCIjMCs3kCLdfvx7Zmzwa,0.746
4,Joey Negro,Must Be The Music,unknown,0.0554,https://api.spotify.com/v1/audio-analysis/7GqXpbbDZe156N1vvgjfmp,1B,0.73,239000.0,0.77,7GqXpbbDZe156N1vvgjfmp,0.0919,11.0,0.093,-5.63,1.0,0.037,121.011,4.0,https://api.spotify.com/v1/tracks/7GqXpbbDZe156N1vvgjfmp,audio_features,spotify:track:7GqXpbbDZe156N1vvgjfmp,0.927
5,Reverendos Of Soul,So Special,unknown,0.000892,https://api.spotify.com/v1/audio-analysis/2PKUQkvvRbzysFOT4942mv,3B,0.939,384794.0,0.749,2PKUQkvvRbzysFOT4942mv,0.0194,1.0,0.0577,-4.015,1.0,0.146,120.005,4.0,https://api.spotify.com/v1/tracks/2PKUQkvvRbzysFOT4942mv,audio_features,spotify:track:2PKUQkvvRbzysFOT4942mv,0.864
6,Mvzzik,Lotta Love,unknown,0.000831,https://api.spotify.com/v1/audio-analysis/3x3Ci8oP2tmNq0tl2YnNOj,10A,0.835,212903.0,0.915,3x3Ci8oP2tmNq0tl2YnNOj,0.446,11.0,0.468,-2.841,0.0,0.09,124.031,4.0,https://api.spotify.com/v1/tracks/3x3Ci8oP2tmNq0tl2YnNOj,audio_features,spotify:track:3x3Ci8oP2tmNq0tl2YnNOj,0.5
7,"The Soultrend Orchestra,Frankie Pearl",Shiver,Mark Di Meo Remix,0.0204,https://api.spotify.com/v1/audio-analysis/3ih1RBDNlqaOeclWSrdqFn,6B,0.835,398220.0,0.531,3ih1RBDNlqaOeclWSrdqFn,0.126,10.0,0.0495,-7.053,1.0,0.0582,121.998,4.0,https://api.spotify.com/v1/tracks/3ih1RBDNlqaOeclWSrdqFn,audio_features,spotify:track:3ih1RBDNlqaOeclWSrdqFn,0.864
8,Eric Kupper,Yes People,unknown,,,,,,,,,,,,,,,,,,,
9,"Will Dawson,Shniece",Missing You,David Morales Remix,0.0107,https://api.spotify.com/v1/audio-analysis/2s2I6jUBAMXV9v0hepGV1J,3A,0.76,400313.0,0.874,2s2I6jUBAMXV9v0hepGV1J,0.00317,10.0,0.0389,-5.452,0.0,0.0424,119.985,4.0,https://api.spotify.com/v1/tracks/2s2I6jUBAMXV9v0hepGV1J,audio_features,spotify:track:2s2I6jUBAMXV9v0hepGV1J,0.949
