,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,HI,LO & Dada Life,unknown,,,,,,,,,,,,,,,,,,,
1,Nora En Pure,Trailblazer,unknown,0.00983,https://api.spotify.com/v1/audio-analysis/5TCfryKXZ9IW4k7ziIjwJz,7B,0.688,212459.0,0.657,5TCfryKXZ9IW4k7ziIjwJz,0.845,5.0,0.302,-9.957,1.0,0.0389,121.973,4.0,https://api.spotify.com/v1/tracks/5TCfryKXZ9IW4k7ziIjwJz,audio_features,spotify:track:5TCfryKXZ9IW4k7ziIjwJz,0.235
2,Robert Burian,So In Love,unknown,0.0345,https://api.spotify.com/v1/audio-analysis/6AULbho0NXMnsaQDCEgUAR,5B,0.818,222439.0,0.735,6AULbho0NXMnsaQDCEgUAR,0.379,3.0,0.146,-4.662,1.0,0.0357,122.979,4.0,https://api.spotify.com/v1/tracks/6AULbho0NXMnsaQDCEgUAR,audio_features,spotify:track:6AULbho0NXMnsaQDCEgUAR,0.256
3,Sebjak,Plommon,unknown,0.0586,https://api.spotify.com/v1/audio-analysis/29H3poPmxWEPpHxBkptzO2,4A,0.747,240000.0,0.744,29H3poPmxWEPpHxBkptzO2,0.895,5.0,0.0835,-9.738,0.0,0.0437,119.953,4.0,https://api.spotify.com/v1/tracks/29H3poPmxWEPpHxBkptzO2,audio_features,spotify:track:29H3poPmxWEPpHxBkptzO2,0.341
4,"Martin Waslewski,Ole Biege",Reilstreet,unknown,0.000941,https://api.spotify.com/v1/audio-analysis/7nvKeZeZWVfoJtsKExaZ7R,8A,0.676,222915.0,0.761,7nvKeZeZWVfoJtsKExaZ7R,0.943,9.0,0.0933,-10.12,0.0,0.0377,122.008,4.0,https://api.spotify.com/v1/tracks/7nvKeZeZWVfoJtsKExaZ7R,audio_features,spotify:track:7nvKeZeZWVfoJtsKExaZ7R,0.262
5,"DJ Gregory,Gregor Salto",Canoa,unknown,0.000201,https://api.spotify.com/v1/audio-analysis/7yAqzJAp6RaOtiDL4MgKzx,6A,0.807,546791.0,0.855,7yAqzJAp6RaOtiDL4MgKzx,0.836,7.0,0.072,-7.001,0.0,0.062,127.016,4.0,https://api.spotify.com/v1/tracks/7yAqzJAp6RaOtiDL4MgKzx,audio_features,spotify:track:7yAqzJAp6RaOtiDL4MgKzx,0.0575
6,Emanuel Satie,Paffo's Riff,unknown,,,,,,,,,,,,,,,,,,,
7,ZDS,Rick James,unknown,0.000195,https://api.spotify.com/v1/audio-analysis/1EOy6Zn7zLH7Tb7WvGzbm4,10A,0.827,180424.0,0.909,1EOy6Zn7zLH7Tb7WvGzbm4,0.944,11.0,0.0631,-5.063,0.0,0.0461,124.989,4.0,https://api.spotify.com/v1/tracks/1EOy6Zn7zLH7Tb7WvGzbm4,audio_features,spotify:track:1EOy6Zn7zLH7Tb7WvGzbm4,0.649
8,Fisher,Ya Kidding,unknown,0.00177,https://api.spotify.com/v1/audio-analysis/3fDgxdcf0jeJgGiZJGUmyK,3B,0.813,238080.0,0.983,3fDgxdcf0jeJgGiZJGUmyK,0.546,1.0,0.502,-5.515,1.0,0.153,125.007,4.0,https://api.spotify.com/v1/tracks/3fDgxdcf0jeJgGiZJGUmyK,audio_features,spotify:track:3fDgxdcf0jeJgGiZJGUmyK,0.77
9,Marian Hill,Down,Franky Rizardo Remix,0.00981,https://api.spotify.com/v1/audio-analysis/0U65qiH70mcfB1wyF0Mal0,5A,0.79,238027.0,0.929,0U65qiH70mcfB1wyF0Mal0,0.0172,0.0,0.0654,-7.512,0.0,0.047,123.991,4.0,https://api.spotify.com/v1/tracks/0U65qiH70mcfB1wyF0Mal0,audio_features,spotify:track:0U65qiH70mcfB1wyF0Mal0,0.799
10,"CamelPhat,Elderbrook",Cola,unknown,0.0245,https://api.spotify.com/v1/audio-analysis/7ir1tVqAtNjctvteJPw5MF,2B,0.706,223869.0,0.74,7ir1tVqAtNjctvteJPw5MF,0.512,6.0,0.135,-7.904,1.0,0.0325,122.007,3.0,https://api.spotify.com/v1/tracks/7ir1tVqAtNjctvteJPw5MF,audio_features,spotify:track:7ir1tVqAtNjctvteJPw5MF,0.444
11,Eric Prydz,Every Day,Gemellini Remix,0.00298,https://api.spotify.com/v1/audio-analysis/4j1hJwuawbvpm2q2orbgj7,6A,0.477,434667.0,0.728,4j1hJwuawbvpm2q2orbgj7,0.26,7.0,0.124,-5.978,0.0,0.0378,125.988,4.0,https://api.spotify.com/v1/tracks/4j1hJwuawbvpm2q2orbgj7,audio_features,spotify:track:4j1hJwuawbvpm2q2orbgj7,0.0341
12,Thick Dick,Welcome To The Jungle,Andrea Oliva Remix,0.00427,https://api.spotify.com/v1/audio-analysis/31uDi2NdSggO7xbI3IqnOm,9B,0.769,182857.0,0.961,31uDi2NdSggO7xbI3IqnOm,0.572,7.0,0.0462,-6.597,1.0,0.0821,126.002,4.0,https://api.spotify.com/v1/tracks/31uDi2NdSggO7xbI3IqnOm,audio_features,spotify:track:31uDi2NdSggO7xbI3IqnOm,0.445
13,Drahosh,Your Soul,unknown,,,,,,,,,,,,,,,,,,,
14,Audiophonik,Pass Me,Raffa FL Remix,0.00168,https://api.spotify.com/v1/audio-analysis/0syc5VmgJrEbnpEajrYu7z,4A,0.848,438976.0,0.831,0syc5VmgJrEbnpEajrYu7z,0.901,5.0,0.101,-9.032,0.0,0.0636,123.009,4.0,https://api.spotify.com/v1/tracks/0syc5VmgJrEbnpEajrYu7z,audio_features,spotify:track:0syc5VmgJrEbnpEajrYu7z,0.602
