,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Joe Goddard,Music Is The Answer,Hot Since 82 Remix,0.00137,https://api.spotify.com/v1/audio-analysis/4EbhDVnxwmL5TxigftUj1Q,6A,0.66,493029.0,0.976,4EbhDVnxwmL5TxigftUj1Q,0.725,7.0,0.189,-6.014,0.0,0.0414,123.005,4.0,https://api.spotify.com/v1/tracks/4EbhDVnxwmL5TxigftUj1Q,audio_features,spotify:track:4EbhDVnxwmL5TxigftUj1Q,0.331
1,Redlight,City Jams,UTTU,7.51e-05,https://api.spotify.com/v1/audio-analysis/7wCzb5BLXKrXCa66WC627x,10B,0.718,356161.0,0.909,7wCzb5BLXKrXCa66WC627x,0.21,2.0,0.112,-6.988,1.0,0.0492,123.99,4.0,https://api.spotify.com/v1/tracks/7wCzb5BLXKrXCa66WC627x,audio_features,spotify:track:7wCzb5BLXKrXCa66WC627x,0.146
2,"Friend Within,Kideko",Burnin' Up,unknown,0.00383,https://api.spotify.com/v1/audio-analysis/4dVW4USwxUVhkMlYZSEeVL,11A,0.848,321951.0,0.937,4dVW4USwxUVhkMlYZSEeVL,0.207,6.0,0.0532,-6.246,0.0,0.0987,123.04,4.0,https://api.spotify.com/v1/tracks/4dVW4USwxUVhkMlYZSEeVL,audio_features,spotify:track:4dVW4USwxUVhkMlYZSEeVL,0.664
3,"Amine Edge,DANCE,Blaze",Lovelee Dae,unknown,0.00987,https://api.spotify.com/v1/audio-analysis/6rHyMTHlEn0ukuL4XRhG7X,5A,0.817,382278.0,0.884,6rHyMTHlEn0ukuL4XRhG7X,0.91,0.0,0.111,-7.407,0.0,0.0673,124.0,4.0,https://api.spotify.com/v1/tracks/6rHyMTHlEn0ukuL4XRhG7X,audio_features,spotify:track:6rHyMTHlEn0ukuL4XRhG7X,0.666
4,"CamelPhat,Elderbrook",Cola,unknown,0.0245,https://api.spotify.com/v1/audio-analysis/7ir1tVqAtNjctvteJPw5MF,2B,0.706,223869.0,0.74,7ir1tVqAtNjctvteJPw5MF,0.512,6.0,0.135,-7.904,1.0,0.0325,122.007,3.0,https://api.spotify.com/v1/tracks/7ir1tVqAtNjctvteJPw5MF,audio_features,spotify:track:7ir1tVqAtNjctvteJPw5MF,0.444
5,Tchami,Adieu,unknown,0.0464,https://api.spotify.com/v1/audio-analysis/3de3pLWU48fpTNlSuM6tyR,10A,0.718,413333.0,0.747,3de3pLWU48fpTNlSuM6tyR,0.641,11.0,0.0772,-4.932,0.0,0.0409,125.982,4.0,https://api.spotify.com/v1/tracks/3de3pLWU48fpTNlSuM6tyR,audio_features,spotify:track:3de3pLWU48fpTNlSuM6tyR,0.325
6,"Riton,Kah",Lo & Mr Eazi & Davido,Shadow Child Remix,0.301,https://api.spotify.com/v1/audio-analysis/5v1BWoooElhlxeqHpRpN4y,3B,0.756,202275.0,0.734,5v1BWoooElhlxeqHpRpN4y,0.00011,1.0,0.105,-5.721,1.0,0.0475,124.021,4.0,https://api.spotify.com/v1/tracks/5v1BWoooElhlxeqHpRpN4y,audio_features,spotify:track:5v1BWoooElhlxeqHpRpN4y,0.537
7,TCTS,Icy Feet,unknown,0.00459,https://api.spotify.com/v1/audio-analysis/2fTDj49iRWC7RSj4zVr6yw,3B,0.684,176907.0,0.92,2fTDj49iRWC7RSj4zVr6yw,0.000142,1.0,0.51,-5.368,1.0,0.0653,123.024,4.0,https://api.spotify.com/v1/tracks/2fTDj49iRWC7RSj4zVr6yw,audio_features,spotify:track:2fTDj49iRWC7RSj4zVr6yw,0.889
8,Dusky,Square Miso,unknown,0.275,https://api.spotify.com/v1/audio-analysis/1xEVN2kGewHLQtkXSYGX0Z,5B,0.295,277507.0,0.681,1xEVN2kGewHLQtkXSYGX0Z,0.552,3.0,0.642,-11.804,1.0,0.0374,114.017,4.0,https://api.spotify.com/v1/tracks/1xEVN2kGewHLQtkXSYGX0Z,audio_features,spotify:track:1xEVN2kGewHLQtkXSYGX0Z,0.081
9,"Sasha,Polica",Out Of Time,unknown,0.00187,https://api.spotify.com/v1/audio-analysis/2t9WioYqK4d9O6AZGj2s9O,3B,0.685,581029.0,0.901,2t9WioYqK4d9O6AZGj2s9O,0.347,1.0,0.0679,-8.455,1.0,0.0453,123.007,4.0,https://api.spotify.com/v1/tracks/2t9WioYqK4d9O6AZGj2s9O,audio_features,spotify:track:2t9WioYqK4d9O6AZGj2s9O,0.301
