,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Katy Perry,Migos",Bon Appétit,Instrumental Mix,0.13,https://api.spotify.com/v1/audio-analysis/4rHmKlFRiFzabiVO6e9w2e,2B,0.799,227813.0,0.794,4rHmKlFRiFzabiVO6e9w2e,8.23e-05,6.0,0.221,-5.834,1.0,0.0628,106.031,4.0,https://api.spotify.com/v1/tracks/4rHmKlFRiFzabiVO6e9w2e,audio_features,spotify:track:4rHmKlFRiFzabiVO6e9w2e,0.524
1,"Jason Derulo,Nicki Minaj,Ty Dolla $ign",Swalla,Acappella,0.075,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,3B,0.696,216409.0,0.817,6kex4EBAj0WHXDKZMEJaaF,0.0,1.0,0.187,-3.862,1.0,0.109,98.064,4.0,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.782
2,"Sean Paul,Dua Lipa",No Lie,Acappella,0.0466,https://api.spotify.com/v1/audio-analysis/1Vb4HQnN2kZ5Y2KgYF5TDV,9B,0.742,221176.0,0.882,1Vb4HQnN2kZ5Y2KgYF5TDV,0.0,7.0,0.206,-2.862,1.0,0.117,102.04,4.0,https://api.spotify.com/v1/tracks/1Vb4HQnN2kZ5Y2KgYF5TDV,audio_features,spotify:track:1Vb4HQnN2kZ5Y2KgYF5TDV,0.463
3,"Clean Bandit,Sean Paul,Anne",Marie,Acappella,0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,8A,0.72,251088.0,0.763,5knuzwU65gJK7IF5yJsuaW,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742
4,"Justin Bieber,BloodPop",Friends,Instrumental Mix,0.00402,https://api.spotify.com/v1/audio-analysis/7iNIg7XDEaYECfWD5dJ9Va,4B,0.743,189467.0,0.733,7iNIg7XDEaYECfWD5dJ9Va,0.0,8.0,0.304,-5.337,1.0,0.0375,104.977,4.0,https://api.spotify.com/v1/tracks/7iNIg7XDEaYECfWD5dJ9Va,audio_features,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,0.622
5,Shawn Mendes,There's Nothing Holdin' Me Back,Acappella,,,,,,,,,,,,,,,,,,,
6,"Katy Perry,Migos",Bon Appétit,Acappella,0.13,https://api.spotify.com/v1/audio-analysis/4rHmKlFRiFzabiVO6e9w2e,2B,0.799,227813.0,0.794,4rHmKlFRiFzabiVO6e9w2e,8.23e-05,6.0,0.221,-5.834,1.0,0.0628,106.031,4.0,https://api.spotify.com/v1/tracks/4rHmKlFRiFzabiVO6e9w2e,audio_features,spotify:track:4rHmKlFRiFzabiVO6e9w2e,0.524
7,"Kygo,Selena Gomez",It Ain't Me,Acappella,0.119,https://api.spotify.com/v1/audio-analysis/12GEpg2XOPyqk03JZEZnJs,8B,0.64,220781.0,0.533,12GEpg2XOPyqk03JZEZnJs,0.0,0.0,0.0864,-6.596,1.0,0.0706,99.968,4.0,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,audio_features,spotify:track:12GEpg2XOPyqk03JZEZnJs,0.515
8,"Luis Fonsi,Daddy Yankee",Despacito,Acappella,0.228,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,10B,0.653,228827.0,0.816,6rPO02ozF3bM7NnOV4h6s2,0.0,2.0,0.0967,-4.353,1.0,0.167,178.086,4.0,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,audio_features,spotify:track:6rPO02ozF3bM7NnOV4h6s2,0.816
9,"Sean Paul,Dua Lipa",No Lie,Acappella,0.0466,https://api.spotify.com/v1/audio-analysis/1Vb4HQnN2kZ5Y2KgYF5TDV,9B,0.742,221176.0,0.882,1Vb4HQnN2kZ5Y2KgYF5TDV,0.0,7.0,0.206,-2.862,1.0,0.117,102.04,4.0,https://api.spotify.com/v1/tracks/1Vb4HQnN2kZ5Y2KgYF5TDV,audio_features,spotify:track:1Vb4HQnN2kZ5Y2KgYF5TDV,0.463
10,"Katy Perry,Migos",Bon Appétit,Instrumental Mix,0.13,https://api.spotify.com/v1/audio-analysis/4rHmKlFRiFzabiVO6e9w2e,2B,0.799,227813.0,0.794,4rHmKlFRiFzabiVO6e9w2e,8.23e-05,6.0,0.221,-5.834,1.0,0.0628,106.031,4.0,https://api.spotify.com/v1/tracks/4rHmKlFRiFzabiVO6e9w2e,audio_features,spotify:track:4rHmKlFRiFzabiVO6e9w2e,0.524
11,"Jax Jones,RAYE",You Don't Know Me,Acappella,0.163,https://api.spotify.com/v1/audio-analysis/1rFMYAZxBoAKSzXI54brMu,10A,0.877,213947.0,0.658,1rFMYAZxBoAKSzXI54brMu,0.0,11.0,0.108,-6.055,0.0,0.132,123.999,4.0,https://api.spotify.com/v1/tracks/1rFMYAZxBoAKSzXI54brMu,audio_features,spotify:track:1rFMYAZxBoAKSzXI54brMu,0.693
12,"Jason Derulo,Nicki Minaj,Ty Dolla $ign",Swalla,Acappella,0.075,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,3B,0.696,216409.0,0.817,6kex4EBAj0WHXDKZMEJaaF,0.0,1.0,0.187,-3.862,1.0,0.109,98.064,4.0,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.782
13,"Katy Perry,Skip Marley",Chained To The Rhythm,EMI,0.0814,https://api.spotify.com/v1/audio-analysis/7qvxFz3JodM0A7xEM7k3YD,8B,0.446,237733.0,0.8,7qvxFz3JodM0A7xEM7k3YD,0.0,0.0,0.199,-5.404,1.0,0.174,189.89,4.0,https://api.spotify.com/v1/tracks/7qvxFz3JodM0A7xEM7k3YD,audio_features,spotify:track:7qvxFz3JodM0A7xEM7k3YD,0.474
14,Drake,Passionfruit,unknown,0.304,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,1B,0.804,298941.0,0.459,5mCPDVBb16L4XQwDdbRUpz,0.0862,11.0,0.11,-11.556,1.0,0.039,111.963,4.0,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,audio_features,spotify:track:5mCPDVBb16L4XQwDdbRUpz,0.372
15,Dua Lipa,New Rules,Acappella,0.00261,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,8A,0.762,209320.0,0.7,2ekn2ttSfGqwhhate0LSR0,1.56e-05,9.0,0.153,-6.021,0.0,0.0694,116.073,4.0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0,0.608
16,Ofenbach,Be Mine,Instrumental Mix,0.194,https://api.spotify.com/v1/audio-analysis/2KklXplRtxMsBYo474Es0w,7B,0.779,161322.0,0.666,2KklXplRtxMsBYo474Es0w,0.000556,5.0,0.0576,-7.361,1.0,0.0482,123.024,4.0,https://api.spotify.com/v1/tracks/2KklXplRtxMsBYo474Es0w,audio_features,spotify:track:2KklXplRtxMsBYo474Es0w,0.507
17,"Marshmello,Selena Gomez",Wolves,Acappella,0.129,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,10A,0.72,197993.0,0.807,0tBbt8CrmxbjRP0pueQkyU,0.0,11.0,0.183,-4.59,0.0,0.0432,124.946,4.0,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,audio_features,spotify:track:0tBbt8CrmxbjRP0pueQkyU,0.305
18,Imagine Dragons,Thunder,unknown,0.00671,https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB,8B,0.605,187147.0,0.822,1zB4vmk8tFRmM9UULNzbLB,0.134,0.0,0.147,-4.833,1.0,0.0438,167.997,4.0,https://api.spotify.com/v1/tracks/1zB4vmk8tFRmM9UULNzbLB,audio_features,spotify:track:1zB4vmk8tFRmM9UULNzbLB,0.288
19,"Justin Bieber,BloodPop",Friends,Instrumental Mix,0.00402,https://api.spotify.com/v1/audio-analysis/7iNIg7XDEaYECfWD5dJ9Va,4B,0.743,189467.0,0.733,7iNIg7XDEaYECfWD5dJ9Va,0.0,8.0,0.304,-5.337,1.0,0.0375,104.977,4.0,https://api.spotify.com/v1/tracks/7iNIg7XDEaYECfWD5dJ9Va,audio_features,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,0.622
20,Bruno Mars,That's What I Like,Acappella,0.0135,https://api.spotify.com/v1/audio-analysis/41845KfPUpg17FYYw0lKYg,3B,0.845,204773.0,0.569,41845KfPUpg17FYYw0lKYg,0.0,1.0,0.0898,-5.127,1.0,0.0414,134.047,4.0,https://api.spotify.com/v1/tracks/41845KfPUpg17FYYw0lKYg,audio_features,spotify:track:41845KfPUpg17FYYw0lKYg,0.848
21,"The Weeknd,Daft Punk",I Feel It Coming,Acappella,0.426,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,5A,0.773,269187.0,0.819,3dhjNA0jGA8vHBQ1VdD6vV,0.0,0.0,0.0679,-5.946,0.0,0.118,92.99,4.0,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,audio_features,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,0.585
