,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Awson,Ily,Karen Harding",There For You,unknown,,,,,,,,,,,,,,,,,,,
1,"Beau Collins,Vin",Love Me,unknown,0.029,https://api.spotify.com/v1/audio-analysis/4xfaNZmFfshBNX5ZI0pRKo,10A,0.703,175620.0,0.94,4xfaNZmFfshBNX5ZI0pRKo,0.379,11.0,0.213,-3.239,0.0,0.0866,123.009,4.0,https://api.spotify.com/v1/tracks/4xfaNZmFfshBNX5ZI0pRKo,audio_features,spotify:track:4xfaNZmFfshBNX5ZI0pRKo,0.253
2,Marc Moosbrugger,Don't Look Down,unknown,,,,,,,,,,,,,,,,,,,
3,Robin Strand,Locked Up,unknown,,,,,,,,,,,,,,,,,,,
4,Haechi,Alright,unknown,,,,,,,,,,,,,,,,,,,
5,"Mindbeats,Mick Fousé",Stranger,unknown,0.335,https://api.spotify.com/v1/audio-analysis/6oo0XnXpHCBZ6lVknvtC9C,6A,0.626,225714.0,0.873,6oo0XnXpHCBZ6lVknvtC9C,0.0,7.0,0.382,-4.35,0.0,0.0823,126.023,4.0,https://api.spotify.com/v1/tracks/6oo0XnXpHCBZ6lVknvtC9C,audio_features,spotify:track:6oo0XnXpHCBZ6lVknvtC9C,0.315
6,"MickMag,JustBob",Need To Feel Loved,unknown,0.189,https://api.spotify.com/v1/audio-analysis/44grCsvYxbFGfuxOlJsvZP,7A,0.684,190551.0,0.87,44grCsvYxbFGfuxOlJsvZP,0.158,2.0,0.237,-3.846,0.0,0.0453,126.023,4.0,https://api.spotify.com/v1/tracks/44grCsvYxbFGfuxOlJsvZP,audio_features,spotify:track:44grCsvYxbFGfuxOlJsvZP,0.291
7,"Paul Mayson,The Hi",Run,Jasper Dietze Remix,0.00926,https://api.spotify.com/v1/audio-analysis/3L5OARCPFBKPvCW0cPydXe,9B,0.427,192536.0,0.783,3L5OARCPFBKPvCW0cPydXe,0.0,7.0,0.361,-3.305,1.0,0.0603,102.972,4.0,https://api.spotify.com/v1/tracks/3L5OARCPFBKPvCW0cPydXe,audio_features,spotify:track:3L5OARCPFBKPvCW0cPydXe,0.457
8,Sound Quelle,Skill,ARMADA,,,,,,,,,,,,,,,,,,,
9,Outlove,Summer Nights,unknown,,,,,,,,,,,,,,,,,,,
10,Kalima,ID,unknown,,,,,,,,,,,,,,,,,,,
11,"Mastrovita,Barkley",Still Alive,unknown,0.3,https://api.spotify.com/v1/audio-analysis/3Y6wj6dRP3QmgXeV2zCzbn,10A,0.65,141952.0,0.912,3Y6wj6dRP3QmgXeV2zCzbn,0.668,11.0,0.306,-4.278,0.0,0.055,126.073,4.0,https://api.spotify.com/v1/tracks/3Y6wj6dRP3QmgXeV2zCzbn,audio_features,spotify:track:3Y6wj6dRP3QmgXeV2zCzbn,0.729
12,"Martin Cloud,Eluna",We Are The Future,unknown,0.0759,https://api.spotify.com/v1/audio-analysis/4kgkWVRc8B0kbV5e3mctKG,1B,0.727,166625.0,0.827,4kgkWVRc8B0kbV5e3mctKG,0.0974,11.0,0.141,-8.255,1.0,0.0776,126.081,4.0,https://api.spotify.com/v1/tracks/4kgkWVRc8B0kbV5e3mctKG,audio_features,spotify:track:4kgkWVRc8B0kbV5e3mctKG,0.56
13,Waysons,Illusions,unknown,0.0109,https://api.spotify.com/v1/audio-analysis/35DapthotUxfGOyBz9dkoV,11A,0.605,185333.0,0.727,35DapthotUxfGOyBz9dkoV,0.000818,6.0,0.181,-5.284,0.0,0.0504,90.044,4.0,https://api.spotify.com/v1/tracks/35DapthotUxfGOyBz9dkoV,audio_features,spotify:track:35DapthotUxfGOyBz9dkoV,0.345
14,MIYLLO,IayDey,unknown,,,,,,,,,,,,,,,,,,,
15,Hreez,The Way Out,unknown,0.00228,https://api.spotify.com/v1/audio-analysis/6lnv5mF18MxxuVgKHaYmVE,10A,0.459,201684.0,0.828,6lnv5mF18MxxuVgKHaYmVE,0.553,11.0,0.132,-8.529,0.0,0.281,143.981,4.0,https://api.spotify.com/v1/tracks/6lnv5mF18MxxuVgKHaYmVE,audio_features,spotify:track:6lnv5mF18MxxuVgKHaYmVE,0.284
16,Naten,Outernet,unknown,0.0115,https://api.spotify.com/v1/audio-analysis/5PUpuV86sTBGHszXPkh1Kb,10A,0.477,230462.0,0.836,5PUpuV86sTBGHszXPkh1Kb,0.0113,11.0,0.152,-6.388,0.0,0.531,176.313,4.0,https://api.spotify.com/v1/tracks/5PUpuV86sTBGHszXPkh1Kb,audio_features,spotify:track:5PUpuV86sTBGHszXPkh1Kb,0.464
17,Capture,Wildlife,unknown,0.0309,https://api.spotify.com/v1/audio-analysis/5newYQPh7g3VWUF7dH1bjt,8A,0.819,246720.0,0.694,5newYQPh7g3VWUF7dH1bjt,0.696,9.0,0.0736,-9.611,0.0,0.0472,124.945,4.0,https://api.spotify.com/v1/tracks/5newYQPh7g3VWUF7dH1bjt,audio_features,spotify:track:5newYQPh7g3VWUF7dH1bjt,0.157
