,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Duke Dumont x Gorgon City,Naations",Real Life,UMG,,,,,,,,,,,,,,,,,,,
1,Martin Jensen,Solo Dance,M-22 Remix,0.0485,https://api.spotify.com/v1/audio-analysis/3R6dPfF2yBO8mHySW1XDAa,11B,0.746,174933.0,0.846,3R6dPfF2yBO8mHySW1XDAa,0.0,9.0,0.195,-2.432,1.0,0.048,114.955,4.0,https://api.spotify.com/v1/tracks/3R6dPfF2yBO8mHySW1XDAa,audio_features,spotify:track:3R6dPfF2yBO8mHySW1XDAa,0.403
2,"French Montana,Swae Lee",Unforgettable,Tiësto & Dzeko AFTR:HRS Remix,0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,2B,0.726,233902.0,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
3,"Post Malone,Quavo",Congratulations,Dzeko Remix,0.215,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,2B,0.63,220293.0,0.804,3a1lNhkSLSkpJE4MSHpDu9,0.0,6.0,0.253,-4.183,1.0,0.0363,123.146,4.0,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,audio_features,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.492
4,"Skrillex,Poo Bear",Would You Ever,unknown,0.0079,https://api.spotify.com/v1/audio-analysis/57p8CBvPOxrvyCbn6ttl5r,6B,0.653,234286.0,0.91,57p8CBvPOxrvyCbn6ttl5r,0.0,10.0,0.318,-3.36,1.0,0.0566,126.047,4.0,https://api.spotify.com/v1/tracks/57p8CBvPOxrvyCbn6ttl5r,audio_features,spotify:track:57p8CBvPOxrvyCbn6ttl5r,0.0921
5,"Tiësto,Stargate,Aloe Blacc",Carry You Home,unknown,0.0308,https://api.spotify.com/v1/audio-analysis/7pstxLUhvsJC3M4TxHe2aI,4B,0.518,192731.0,0.724,7pstxLUhvsJC3M4TxHe2aI,0.0,8.0,0.116,-6.327,1.0,0.0839,121.884,4.0,https://api.spotify.com/v1/tracks/7pstxLUhvsJC3M4TxHe2aI,audio_features,spotify:track:7pstxLUhvsJC3M4TxHe2aI,0.334
6,"Selena Gomez,Marshmello,Mike Williams",Wolves Melody,Lodato Bootleg,,,,,,,,,,,,,,,,,,,
7,Mike Williams,Melody,Tip Of My Tongue,0.00875,https://api.spotify.com/v1/audio-analysis/2VYJbJpcMciVAE6FcfZnOp,10A,0.588,191250.0,0.935,2VYJbJpcMciVAE6FcfZnOp,0.00117,11.0,0.337,-4.13,0.0,0.0481,126.013,4.0,https://api.spotify.com/v1/tracks/2VYJbJpcMciVAE6FcfZnOp,audio_features,spotify:track:2VYJbJpcMciVAE6FcfZnOp,0.27
8,"Marshmello,Selena Gomez",Wolves,unknown,0.129,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,10A,0.72,197993.0,0.807,0tBbt8CrmxbjRP0pueQkyU,0.0,11.0,0.183,-4.59,0.0,0.0432,124.946,4.0,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,audio_features,spotify:track:0tBbt8CrmxbjRP0pueQkyU,0.305
9,"Lucas,Steve",Up Till Dawn,On The Move,0.222,https://api.spotify.com/v1/audio-analysis/6wefD5q8rXOg3xHTUZjyio,2B,0.639,186405.0,0.726,6wefD5q8rXOg3xHTUZjyio,0.0,6.0,0.108,-5.254,1.0,0.0657,117.874,4.0,https://api.spotify.com/v1/tracks/6wefD5q8rXOg3xHTUZjyio,audio_features,spotify:track:6wefD5q8rXOg3xHTUZjyio,0.279
