,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Nitrous Oxide,Intro,Original Mix,,,,,,,,,,,,,,,,,,
1,Solarsun Hydroid,Overjoyed,Hydroid Remix,0.00064,https://api.spotify.com/v1/audio-analysis/2Hi6d13W7r6GqvmMho05V1,0.513,329547.0,0.714,2Hi6d13W7r6GqvmMho05V1,0.879,6.0,0.227,-15.046,0.0,0.034,134.007,4.0,https://api.spotify.com/v1/tracks/2Hi6d13W7r6GqvmMho05V1,audio_features,spotify:track:2Hi6d13W7r6GqvmMho05V1,0.289
2,Above & Beyond Tranquility Base,Oceanic,Original Mix,0.000565,https://api.spotify.com/v1/audio-analysis/2T8U7unbgP073LqeIYJB1R,0.464,220581.0,0.979,2T8U7unbgP073LqeIYJB1R,0.919,1.0,0.189,-7.111,0.0,0.0434,138.012,4.0,https://api.spotify.com/v1/tracks/2T8U7unbgP073LqeIYJB1R,audio_features,spotify:track:2T8U7unbgP073LqeIYJB1R,0.278
3,A State of Mind Skydiver,Sensuality,Skydiver Remix,0.000159,https://api.spotify.com/v1/audio-analysis/0ybRjZhIydNkQvjDMEmV8W,0.628,518587.0,0.823,0ybRjZhIydNkQvjDMEmV8W,0.758,9.0,0.284,-7.145,0.0,0.0472,137.986,4.0,https://api.spotify.com/v1/tracks/0ybRjZhIydNkQvjDMEmV8W,audio_features,spotify:track:0ybRjZhIydNkQvjDMEmV8W,0.292
4,Frase Mekk,Module One,Mekk Mix,1.42e-05,https://api.spotify.com/v1/audio-analysis/3H2GytJ5oRweGfN5J0E8xD,0.565,395283.0,0.954,3H2GytJ5oRweGfN5J0E8xD,0.762,10.0,0.634,-6.236,0.0,0.0496,139.985,4.0,https://api.spotify.com/v1/tracks/3H2GytJ5oRweGfN5J0E8xD,audio_features,spotify:track:3H2GytJ5oRweGfN5J0E8xD,0.148
5,Bissen Sean Tyas,Exhale,Sean Tyas Remix,2.22e-05,https://api.spotify.com/v1/audio-analysis/3SMdWX9JEHZwXSAWpVnkJy,0.602,494573.0,0.966,3SMdWX9JEHZwXSAWpVnkJy,0.894,1.0,0.0696,-6.091,1.0,0.0588,139.992,4.0,https://api.spotify.com/v1/tracks/3SMdWX9JEHZwXSAWpVnkJy,audio_features,spotify:track:3SMdWX9JEHZwXSAWpVnkJy,0.211
6,Arctic Moon Energy Reflect,Cold Planet,Original Mix,,,,,,,,,,,,,,,,,,
7,Dan Stone Signum,Road Test,Signum Remix,0.000167,https://api.spotify.com/v1/audio-analysis/1SQqF94fvGmpADRY7Zkljq,0.486,431009.0,0.892,1SQqF94fvGmpADRY7Zkljq,0.885,4.0,0.524,-10.157,0.0,0.052,136.97,4.0,https://api.spotify.com/v1/tracks/1SQqF94fvGmpADRY7Zkljq,audio_features,spotify:track:1SQqF94fvGmpADRY7Zkljq,0.0713
8,Nitrous Oxide Kamil Polner,Territory,Kamil Polner Mix,,,,,,,,,,,,,,,,,,
9,Silver Mist Avenger,Silver Rain,Avenger's 2007 Rework,1.02e-05,https://api.spotify.com/v1/audio-analysis/35JfQ09HoVhDxTe4YIlOzq,0.508,448933.0,0.952,35JfQ09HoVhDxTe4YIlOzq,0.831,6.0,0.0408,-6.621,0.0,0.0487,138.997,4.0,https://api.spotify.com/v1/tracks/35JfQ09HoVhDxTe4YIlOzq,audio_features,spotify:track:35JfQ09HoVhDxTe4YIlOzq,0.337
10,Luke Terry Akemi Michael Angelo & Jim,Alone Without You,Michael Angelo & Jim Remix,5.18e-05,https://api.spotify.com/v1/audio-analysis/4VjJxUyYedTZe7m8V8pCFp,0.517,511757.0,0.919,4VjJxUyYedTZe7m8V8pCFp,0.888,5.0,0.0931,-8.177,0.0,0.0543,140.027,4.0,https://api.spotify.com/v1/tracks/4VjJxUyYedTZe7m8V8pCFp,audio_features,spotify:track:4VjJxUyYedTZe7m8V8pCFp,0.145
11,Amurai Static Blue Daniel Kandi,After The Sunrise,Daniel Kandi Rising Remix,8.6e-06,https://api.spotify.com/v1/audio-analysis/2VHEf7cmiQq9enFWD75gsj,0.516,510903.0,0.977,2VHEf7cmiQq9enFWD75gsj,0.877,4.0,0.118,-7.096,0.0,0.0728,139.005,4.0,https://api.spotify.com/v1/tracks/2VHEf7cmiQq9enFWD75gsj,audio_features,spotify:track:2VHEf7cmiQq9enFWD75gsj,0.406
12,Nitrous Oxide,Waves,Original Mix,0.000294,https://api.spotify.com/v1/audio-analysis/6p3REivoK9MhE12k5I2gmR,0.46,546867.0,0.932,6p3REivoK9MhE12k5I2gmR,0.767,0.0,0.955,-9.053,1.0,0.0384,138.006,4.0,https://api.spotify.com/v1/tracks/6p3REivoK9MhE12k5I2gmR,audio_features,spotify:track:6p3REivoK9MhE12k5I2gmR,0.36
13,Ben Gold Aly & Fila,Rollcage,Aly & Fila Remix,,,,,,,,,,,,,,,,,,
14,Shocksystem,Memetic,Original Mix,,,,,,,,,,,,,,,,,,
15,Adrian Ivan Yanave,Before Sunset,Yanave Remix,1.26e-05,https://api.spotify.com/v1/audio-analysis/45FekInu0gzT4KySoY2D63,0.524,458796.0,0.976,45FekInu0gzT4KySoY2D63,0.837,1.0,0.0376,-8.12,0.0,0.187,138.024,4.0,https://api.spotify.com/v1/tracks/45FekInu0gzT4KySoY2D63,audio_features,spotify:track:45FekInu0gzT4KySoY2D63,0.0712
