,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Anjunabeats Worldwide,Intro,Original Mix,,,,,,,,,,,,,,,,,,
1,David West Inkfish,Searching For Substance,Original Mix,,,,,,,,,,,,,,,,,,
2,Bastian & Ernesto Wippenberg,Unchained Melody,Wippenberg Mix,,,,,,,,,,,,,,,,,,
3,Junk Science,My Name Is Jacques,Original Mix,0.000138,https://api.spotify.com/v1/audio-analysis/3dWoh6ubJTqjf1cQGEXur7,0.59,295760.0,0.934,3dWoh6ubJTqjf1cQGEXur7,0.651,4.0,0.0911,-8.019,1.0,0.0939,133.762,4.0,https://api.spotify.com/v1/tracks/3dWoh6ubJTqjf1cQGEXur7,audio_features,spotify:track:3dWoh6ubJTqjf1cQGEXur7,0.411
4,Above & Beyond Tranquility Base Super8 & Tab,Oceanic,Super8 & Tab Remix,0.000241,https://api.spotify.com/v1/audio-analysis/2RUIfhcUdQnHkbbqCo1rbB,0.612,451320.0,0.921,2RUIfhcUdQnHkbbqCo1rbB,0.893,6.0,0.0742,-6.996,0.0,0.0763,136.034,4.0,https://api.spotify.com/v1/tracks/2RUIfhcUdQnHkbbqCo1rbB,audio_features,spotify:track:2RUIfhcUdQnHkbbqCo1rbB,0.639
5,Oliver Smith,Nimbus,Original Mix,0.00306,https://api.spotify.com/v1/audio-analysis/1rg9O19KMahwjBRCWXccog,0.619,437307.0,0.936,1rg9O19KMahwjBRCWXccog,0.933,6.0,0.0278,-6.385,0.0,0.041,138.01,4.0,https://api.spotify.com/v1/tracks/1rg9O19KMahwjBRCWXccog,audio_features,spotify:track:1rg9O19KMahwjBRCWXccog,0.208
6,Daniel Kandi,Make Me Believe,Original Mix,7.71e-05,https://api.spotify.com/v1/audio-analysis/6MMMKYRRhaR0BWnF4qeVz1,0.587,477293.0,0.901,6MMMKYRRhaR0BWnF4qeVz1,0.836,4.0,0.2,-8.519,0.0,0.0582,137.981,4.0,https://api.spotify.com/v1/tracks/6MMMKYRRhaR0BWnF4qeVz1,audio_features,spotify:track:6MMMKYRRhaR0BWnF4qeVz1,0.121
7,Robert Nickson,Helix,Original Mix,1.93e-05,https://api.spotify.com/v1/audio-analysis/2ezfmAkavwaiXHScHgZdRw,0.501,420467.0,0.862,2ezfmAkavwaiXHScHgZdRw,0.887,1.0,0.116,-8.587,0.0,0.0474,136.998,4.0,https://api.spotify.com/v1/tracks/2ezfmAkavwaiXHScHgZdRw,audio_features,spotify:track:2ezfmAkavwaiXHScHgZdRw,0.119
8,Filo & Peri Eric Lumière John O'Callaghan,Anthem,John O'Callaghan Remix,0.000194,https://api.spotify.com/v1/audio-analysis/7N3JzaCsXLVHqkDRCOFlA9,0.431,388525.0,0.933,7N3JzaCsXLVHqkDRCOFlA9,0.0378,9.0,0.265,-11.027,1.0,0.0531,138.02,4.0,https://api.spotify.com/v1/tracks/7N3JzaCsXLVHqkDRCOFlA9,audio_features,spotify:track:7N3JzaCsXLVHqkDRCOFlA9,0.0383
9,Lange Lange,Angel Falls,Firewall Mix,0.000115,https://api.spotify.com/v1/audio-analysis/68EEqQj5STrxx06Ks8qyF0,0.717,394886.0,0.672,68EEqQj5STrxx06Ks8qyF0,0.616,1.0,0.0596,-7.186,1.0,0.048,131.989,4.0,https://api.spotify.com/v1/tracks/68EEqQj5STrxx06Ks8qyF0,audio_features,spotify:track:68EEqQj5STrxx06Ks8qyF0,0.543
