,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Anjunabeats Worldwide,Intro,Original Mix,,,,,,,,,,,,,,,,,,
1,Arty,Vanilla Sky,Original Mix,2.15e-05,https://api.spotify.com/v1/audio-analysis/7ccF9HqXwQIWNSinBeWWHw,0.66,460684.0,0.519,7ccF9HqXwQIWNSinBeWWHw,0.919,11.0,0.673,-7.115,0.0,0.0346,128.015,4.0,https://api.spotify.com/v1/tracks/7ccF9HqXwQIWNSinBeWWHw,audio_features,spotify:track:7ccF9HqXwQIWNSinBeWWHw,0.0346
2,Bakke & Joni Kris O'Neil Simon Gain,Envision,Kris O'Neil & Simon Gain Remix,0.00285,https://api.spotify.com/v1/audio-analysis/05JnstSrHIMK3ws48kl6QO,0.695,483254.0,0.886,05JnstSrHIMK3ws48kl6QO,0.673,11.0,0.157,-7.036,0.0,0.0426,131.018,4.0,https://api.spotify.com/v1/tracks/05JnstSrHIMK3ws48kl6QO,audio_features,spotify:track:05JnstSrHIMK3ws48kl6QO,0.47
3,Johan Johnson,Golden Age,Original Mix,3.76e-05,https://api.spotify.com/v1/audio-analysis/1MIYfACXTs4UWBRO5dJNDR,0.586,564923.0,0.711,1MIYfACXTs4UWBRO5dJNDR,0.785,6.0,0.536,-9.12,1.0,0.0328,129.993,4.0,https://api.spotify.com/v1/tracks/1MIYfACXTs4UWBRO5dJNDR,audio_features,spotify:track:1MIYfACXTs4UWBRO5dJNDR,0.202
4,Soto Tritonal,Piercing Quiet,Original Mix,,,,,,,,,,,,,,,,,,
5,Jaren Matt Cerf Shawn Mitiska Blake Jarrell,You Never Said,Blake Jarrell Extended Remix,0.000285,https://api.spotify.com/v1/audio-analysis/373yLREFPIwqX6wGr43cy0,0.696,443077.0,0.826,373yLREFPIwqX6wGr43cy0,0.889,7.0,0.264,-8.131,0.0,0.278,129.991,4.0,https://api.spotify.com/v1/tracks/373yLREFPIwqX6wGr43cy0,audio_features,spotify:track:373yLREFPIwqX6wGr43cy0,0.751
6,Treadstone,Inspirado,Vocal Mix,0.000497,https://api.spotify.com/v1/audio-analysis/0KN3j6HHbgM1HpFNsMVqTO,0.769,451793.0,0.797,0KN3j6HHbgM1HpFNsMVqTO,0.9,6.0,0.0902,-9.288,1.0,0.126,127.993,4.0,https://api.spotify.com/v1/tracks/0KN3j6HHbgM1HpFNsMVqTO,audio_features,spotify:track:0KN3j6HHbgM1HpFNsMVqTO,0.806
7,Mr. Sam T4L Lost Stories,Menyako,Lost Stories Remix,,,,,,,,,,,,,,,,,,
8,Easton Zoe,Through Loving You,Club Dub Mix,0.00132,https://api.spotify.com/v1/audio-analysis/3eSk7kfMr60sCGELlVYZD1,0.575,398745.0,0.76,3eSk7kfMr60sCGELlVYZD1,0.951,2.0,0.0776,-9.137,1.0,0.0373,136.012,4.0,https://api.spotify.com/v1/tracks/3eSk7kfMr60sCGELlVYZD1,audio_features,spotify:track:3eSk7kfMr60sCGELlVYZD1,0.618
9,Alex M.O.R.P.H. Menno de Jong,No Regrets,Menno De Jong Remix,0.0188,https://api.spotify.com/v1/audio-analysis/2JKNNwzVvZcq7nSEwzybak,0.878,402372.0,0.443,2JKNNwzVvZcq7nSEwzybak,0.187,3.0,0.0442,-6.664,0.0,0.0685,130.004,4.0,https://api.spotify.com/v1/tracks/2JKNNwzVvZcq7nSEwzybak,audio_features,spotify:track:2JKNNwzVvZcq7nSEwzybak,0.666
10,Soulside,17th April,Original Mix,0.00169,https://api.spotify.com/v1/audio-analysis/71yfQdOEViOi0gTtjhMsIh,0.671,405887.0,0.94,71yfQdOEViOi0gTtjhMsIh,0.883,0.0,0.0608,-7.236,1.0,0.0642,135.985,4.0,https://api.spotify.com/v1/tracks/71yfQdOEViOi0gTtjhMsIh,audio_features,spotify:track:71yfQdOEViOi0gTtjhMsIh,0.58
11,Rozza,London To Bangkok,Original Mix,0.0212,https://api.spotify.com/v1/audio-analysis/06XkI1HHyTn4DX4jItgWkY,0.455,490173.0,0.966,06XkI1HHyTn4DX4jItgWkY,0.952,4.0,0.0465,-8.321,1.0,0.041,138.993,4.0,https://api.spotify.com/v1/tracks/06XkI1HHyTn4DX4jItgWkY,audio_features,spotify:track:06XkI1HHyTn4DX4jItgWkY,0.522
12,Ben Nicky,Special Moment,Original Mix,6.9e-05,https://api.spotify.com/v1/audio-analysis/2120L7I8tOZwmykaEm5p34,0.496,442290.0,0.886,2120L7I8tOZwmykaEm5p34,0.944,3.0,0.0475,-8.917,0.0,0.0427,139.976,4.0,https://api.spotify.com/v1/tracks/2120L7I8tOZwmykaEm5p34,audio_features,spotify:track:2120L7I8tOZwmykaEm5p34,0.157
13,Manvel Ter-Pogosyan Tiff Lacey Avenger,Sweet Memories,Avenger Remix,,,,,,,,,,,,,,,,,,
14,Ralph Fritsch Fast Distance,Phoenix,Fast Distance Uplifting Mix,0.00197,https://api.spotify.com/v1/audio-analysis/3SuBEMEeYzsAoLoTbeP4NX,0.646,515077.0,0.556,3SuBEMEeYzsAoLoTbeP4NX,0.927,8.0,0.0469,-8.831,1.0,0.0413,129.989,4.0,https://api.spotify.com/v1/tracks/3SuBEMEeYzsAoLoTbeP4NX,audio_features,spotify:track:3SuBEMEeYzsAoLoTbeP4NX,0.302
15,Manuel Le Saux,Reflex,Original Mix,0.011,https://api.spotify.com/v1/audio-analysis/6TDL9J5KMZgtfUgaJP8FXI,0.565,454879.0,0.982,6TDL9J5KMZgtfUgaJP8FXI,0.922,6.0,0.485,-1.312,1.0,0.0502,139.991,4.0,https://api.spotify.com/v1/tracks/6TDL9J5KMZgtfUgaJP8FXI,audio_features,spotify:track:6TDL9J5KMZgtfUgaJP8FXI,0.127
16,Alex Hentze Gabriel Cazali,Sky High,Original Mix,,,,,,,,,,,,,,,,,,
17,Cosmic Gate,F.A.V.,Original Mix,0.0124,https://api.spotify.com/v1/audio-analysis/2guPFrLMFNReRIl67hg1M6,0.549,358222.0,0.488,2guPFrLMFNReRIl67hg1M6,0.883,11.0,0.168,-18.045,0.0,0.037,134.001,4.0,https://api.spotify.com/v1/tracks/2guPFrLMFNReRIl67hg1M6,audio_features,spotify:track:2guPFrLMFNReRIl67hg1M6,0.146
