,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Pryda,Frankfurt,Original Mix,0.0386,https://api.spotify.com/v1/audio-analysis/5kH1FDWraqNDeAJI7BVhaE,0.608,335227.0,0.969,5kH1FDWraqNDeAJI7BVhaE,0.847,10.0,0.209,-4.919,0.0,0.0414,126.011,4.0,https://api.spotify.com/v1/tracks/5kH1FDWraqNDeAJI7BVhaE,audio_features,spotify:track:5kH1FDWraqNDeAJI7BVhaE,0.482
1,Michael Cassette,Zeppelin,Original Mix,0.00272,https://api.spotify.com/v1/audio-analysis/1CDWhLOu5Au0DcRPOaXNC3,0.608,514547.0,0.623,1CDWhLOu5Au0DcRPOaXNC3,0.824,8.0,0.0688,-10.376,1.0,0.0511,124.006,3.0,https://api.spotify.com/v1/tracks/1CDWhLOu5Au0DcRPOaXNC3,audio_features,spotify:track:1CDWhLOu5Au0DcRPOaXNC3,0.35
2,Brazen,Toto,Original Mix,,,,,,,,,,,,,,,,,,
3,Roman Pushkin,Fat Bottom Girls,Original Mix,0.00419,https://api.spotify.com/v1/audio-analysis/4sEOiTC0sKI1KmpR7kq1eY,0.744,404139.0,0.878,4sEOiTC0sKI1KmpR7kq1eY,0.116,1.0,0.42,-8.593,1.0,0.0716,128.01,4.0,https://api.spotify.com/v1/tracks/4sEOiTC0sKI1KmpR7kq1eY,audio_features,spotify:track:4sEOiTC0sKI1KmpR7kq1eY,0.693
4,Junk Science Simuck,My Name Is Jacques,Simuck Plastic Funk Remix,8.55e-05,https://api.spotify.com/v1/audio-analysis/1fg9CoabzGzl7v6pfPMB6P,0.787,425493.0,0.829,1fg9CoabzGzl7v6pfPMB6P,0.846,9.0,0.0953,-5.773,0.0,0.12,127.989,4.0,https://api.spotify.com/v1/tracks/1fg9CoabzGzl7v6pfPMB6P,audio_features,spotify:track:1fg9CoabzGzl7v6pfPMB6P,0.503
5,Alex M.O.R.P.H. Rank 1 Rank 1,Life Less Ordinary,A Less Ordinary Rank 1 Mix,0.000267,https://api.spotify.com/v1/audio-analysis/3qtaSu9FjddcHDvDhyNm8N,0.648,42656.0,0.906,3qtaSu9FjddcHDvDhyNm8N,0.884,9.0,0.128,-10.821,0.0,0.044,135.022,4.0,https://api.spotify.com/v1/tracks/3qtaSu9FjddcHDvDhyNm8N,audio_features,spotify:track:3qtaSu9FjddcHDvDhyNm8N,0.953
6,David Amo Julio Navas,Botifarra,Original Mix,0.00749,https://api.spotify.com/v1/audio-analysis/4y1COvEcmzjboYuWtV4B09,0.8,444337.0,0.782,4y1COvEcmzjboYuWtV4B09,0.774,11.0,0.0561,-7.246,1.0,0.092,126.029,4.0,https://api.spotify.com/v1/tracks/4y1COvEcmzjboYuWtV4B09,audio_features,spotify:track:4y1COvEcmzjboYuWtV4B09,0.511
7,Rubikon David Amo Julio Navas,Adore,David Amo & Julio Navas Mix,0.00822,https://api.spotify.com/v1/audio-analysis/08ezWPnb7KmN0MgqiSqXva,0.808,458000.0,0.771,08ezWPnb7KmN0MgqiSqXva,0.592,1.0,0.0703,-5.229,1.0,0.0651,128.999,4.0,https://api.spotify.com/v1/tracks/08ezWPnb7KmN0MgqiSqXva,audio_features,spotify:track:08ezWPnb7KmN0MgqiSqXva,0.618
8,Francesco Diaz Karl Frierson Denis The Menace Jerry Ropero,Say A Little Prayer,Denis The Menace & Jerry Ropero Remix,0.00467,https://api.spotify.com/v1/audio-analysis/5bVxpisSw8CJPWfnBzX2PB,0.695,395907.0,0.905,5bVxpisSw8CJPWfnBzX2PB,0.602,10.0,0.0521,-3.998,1.0,0.114,127.997,4.0,https://api.spotify.com/v1/tracks/5bVxpisSw8CJPWfnBzX2PB,audio_features,spotify:track:5bVxpisSw8CJPWfnBzX2PB,0.799
9,Laidback Luke Stephen Granville Steve Angello,Hypnotize,Steve Angello Remix,0.000364,https://api.spotify.com/v1/audio-analysis/3Xk1cBmnJIRXOLHaG03wRs,0.781,446813.0,0.344,3Xk1cBmnJIRXOLHaG03wRs,0.638,9.0,0.0362,-8.073,1.0,0.0806,130.01,4.0,https://api.spotify.com/v1/tracks/3Xk1cBmnJIRXOLHaG03wRs,audio_features,spotify:track:3Xk1cBmnJIRXOLHaG03wRs,0.0928
10,Joonas Hahmo,Together,Original Mix,0.000354,https://api.spotify.com/v1/audio-analysis/1f2ATrxK6Vy2bAyNaVId9Q,0.656,370933.0,0.878,1f2ATrxK6Vy2bAyNaVId9Q,0.383,6.0,0.284,-9.185,1.0,0.0435,132.026,4.0,https://api.spotify.com/v1/tracks/1f2ATrxK6Vy2bAyNaVId9Q,audio_features,spotify:track:1f2ATrxK6Vy2bAyNaVId9Q,0.389
11,Axwell Remode,I Found You,Remode Mix,,,,,,,,,,,,,,,,,,
12,Mixin Marc Roxanne Steve Angello,Sexual Thing,Steve Angello Remix,,,,,,,,,,,,,,,,,,
13,Erick Morillo Jose Nunez Richard Grey Richard F,Life Goes On,Richard F Mix,0.315,https://api.spotify.com/v1/audio-analysis/5iQYHpbIv6YABOjTWhs7Zj,0.666,469693.0,0.953,5iQYHpbIv6YABOjTWhs7Zj,0.0637,6.0,0.0901,-4.09,1.0,0.134,125.982,4.0,https://api.spotify.com/v1/tracks/5iQYHpbIv6YABOjTWhs7Zj,audio_features,spotify:track:5iQYHpbIv6YABOjTWhs7Zj,0.138
14,DJ Energy,Captain Future,Instrumental Mix,,,,,,,,,,,,,,,,,,
15,Burufunk Deadmau5,Community Funk,Deadmau5 Remix,0.00133,https://api.spotify.com/v1/audio-analysis/3PFhljHTZVruNfqcUSk9Ky,0.803,371438.0,0.829,3PFhljHTZVruNfqcUSk9Ky,0.83,11.0,0.083,-5.891,0.0,0.0808,128.012,4.0,https://api.spotify.com/v1/tracks/3PFhljHTZVruNfqcUSk9Ky,audio_features,spotify:track:3PFhljHTZVruNfqcUSk9Ky,0.872
16,Super8 & Tab Ben Lost Wippenberg,Need To Feel,Wippenberg Remix,,,,,,,,,,,,,,,,,,
17,Chicken Lips Vandalism,He Not In,Vandalism Club Mix,0.00161,https://api.spotify.com/v1/audio-analysis/2jLugRBOkV37BUopufhEjS,0.8,511118.0,0.887,2jLugRBOkV37BUopufhEjS,0.876,1.0,0.218,-10.147,1.0,0.0664,126.031,4.0,https://api.spotify.com/v1/tracks/2jLugRBOkV37BUopufhEjS,audio_features,spotify:track:2jLugRBOkV37BUopufhEjS,0.375
18,Eric Prydz Floyd Sebastian Ingrosso,Proper Education,Sebastian Ingrosso Remix,,,,,,,,,,,,,,,,,,
19,Denis The Menace Jerry Ropero Sabor Axwell,Coracao,Axwell Remix,0.0132,https://api.spotify.com/v1/audio-analysis/2bGDeetqYJ0BZIon4VQkDM,0.78,380906.0,0.608,2bGDeetqYJ0BZIon4VQkDM,0.643,2.0,0.0524,-8.156,1.0,0.084,126.009,4.0,https://api.spotify.com/v1/tracks/2bGDeetqYJ0BZIon4VQkDM,audio_features,spotify:track:2bGDeetqYJ0BZIon4VQkDM,0.126
