,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Anjunabeats Worldwide,Intro,Original Mix,,,,,,,,,,,,,,,,,,
1,Donnacha Costello,Black Bag Job,Original Mix,,,,,,,,,,,,,,,,,,
2,Chymera Jody Wisternoff,Parelo,Jody Wisternoff Mix,,,,,,,,,,,,,,,,,,
3,John Dahlbäck Dirty South,Pyramid,Dirty South Remix,0.059,https://api.spotify.com/v1/audio-analysis/7kueWIb7CMq7qVNl5EPDjQ,0.549,462347.0,0.813,7kueWIb7CMq7qVNl5EPDjQ,0.917,6.0,0.0943,-8.214,1.0,0.084,127.778,4.0,https://api.spotify.com/v1/tracks/7kueWIb7CMq7qVNl5EPDjQ,audio_features,spotify:track:7kueWIb7CMq7qVNl5EPDjQ,0.608
4,Lanui,Eli,Original Mix,0.0652,https://api.spotify.com/v1/audio-analysis/3uIQ75UQSvliXazbXrvZUi,0.756,447874.0,0.737,3uIQ75UQSvliXazbXrvZUi,0.856,0.0,0.442,-6.913,1.0,0.0686,126.991,4.0,https://api.spotify.com/v1/tracks/3uIQ75UQSvliXazbXrvZUi,audio_features,spotify:track:3uIQ75UQSvliXazbXrvZUi,0.645
5,Sébastien Léger,Cylo,Original Mix,,,,,,,,,,,,,,,,,,
6,Michael Cassette,Cyan Child,Original Mix,0.0406,https://api.spotify.com/v1/audio-analysis/5oE0UmBaKvoT4GizA29s4m,0.65,480147.0,0.822,5oE0UmBaKvoT4GizA29s4m,0.882,10.0,0.341,-5.459,1.0,0.0569,124.968,4.0,https://api.spotify.com/v1/tracks/5oE0UmBaKvoT4GizA29s4m,audio_features,spotify:track:5oE0UmBaKvoT4GizA29s4m,0.609
7,Michael Cassette,Winter,Original Mix,0.0257,https://api.spotify.com/v1/audio-analysis/4EutqmGHspsf17QfF3gfj4,0.46,496453.0,0.709,4EutqmGHspsf17QfF3gfj4,0.925,5.0,0.105,-6.858,1.0,0.0496,123.954,4.0,https://api.spotify.com/v1/tracks/4EutqmGHspsf17QfF3gfj4,audio_features,spotify:track:4EutqmGHspsf17QfF3gfj4,0.0378
8,Jaytech,Vela,Original Mix,8.66e-05,https://api.spotify.com/v1/audio-analysis/4cPHJWXgRfx6Db5ZDFqmy3,0.697,333840.0,0.753,4cPHJWXgRfx6Db5ZDFqmy3,0.895,0.0,0.0436,-5.817,1.0,0.0476,127.997,4.0,https://api.spotify.com/v1/tracks/4cPHJWXgRfx6Db5ZDFqmy3,audio_features,spotify:track:4cPHJWXgRfx6Db5ZDFqmy3,0.789
9,PROFF,My Personal Summer,Original Mix,0.00013,https://api.spotify.com/v1/audio-analysis/6KFimIGhmQjnFoqo0Tlg1c,0.633,348400.0,0.732,6KFimIGhmQjnFoqo0Tlg1c,0.883,9.0,0.2,-10.486,0.0,0.0403,129.388,4.0,https://api.spotify.com/v1/tracks/6KFimIGhmQjnFoqo0Tlg1c,audio_features,spotify:track:6KFimIGhmQjnFoqo0Tlg1c,0.314
10,Yves Larock EDX,Say Yeah,EDX's Ibiza Surise Dub,0.000142,https://api.spotify.com/v1/audio-analysis/4O4AChnrQruQmwlgKfn5vw,0.643,345347.0,0.869,4O4AChnrQruQmwlgKfn5vw,0.00765,0.0,0.474,-6.127,1.0,0.0494,128.006,4.0,https://api.spotify.com/v1/tracks/4O4AChnrQruQmwlgKfn5vw,audio_features,spotify:track:4O4AChnrQruQmwlgKfn5vw,0.649
11,Joonas Hahmo,Cocktail Bar,Original Mix,0.000255,https://api.spotify.com/v1/audio-analysis/4MyPdtrK78Tf2jElqgY9IF,0.595,302920.0,0.888,4MyPdtrK78Tf2jElqgY9IF,0.873,5.0,0.377,-8.163,0.0,0.0301,129.211,4.0,https://api.spotify.com/v1/tracks/4MyPdtrK78Tf2jElqgY9IF,audio_features,spotify:track:4MyPdtrK78Tf2jElqgY9IF,0.0791
12,Monogato,Kim,Original Mix,0.00704,https://api.spotify.com/v1/audio-analysis/1jsG0QRgYfNBe1Yu7lBS3n,0.756,425760.0,0.673,1jsG0QRgYfNBe1Yu7lBS3n,0.922,10.0,0.151,-8.036,0.0,0.0574,127.985,4.0,https://api.spotify.com/v1/tracks/1jsG0QRgYfNBe1Yu7lBS3n,audio_features,spotify:track:1jsG0QRgYfNBe1Yu7lBS3n,0.574
13,Sergio Fernandez Alex Celler,Change The Tempo,Alex Celler Tech Dub,0.00633,https://api.spotify.com/v1/audio-analysis/6Fztq4SXnAuqW8N0uWNv2k,0.785,394328.0,0.875,6Fztq4SXnAuqW8N0uWNv2k,0.9,0.0,0.341,-8.008,1.0,0.0748,128.005,4.0,https://api.spotify.com/v1/tracks/6Fztq4SXnAuqW8N0uWNv2k,audio_features,spotify:track:6Fztq4SXnAuqW8N0uWNv2k,0.216
