,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,SONNS   Beesh, Tame ,Marvin & Guy Remix,9.07e-05,https://api.spotify.com/v1/audio-analysis/7hHSeVyAMuwKuzVrULYS5l,0.807,355929.0,0.641,7hHSeVyAMuwKuzVrULYS5l,0.837,1.0,0.11,-10.56,1.0,0.061,120.003,4.0,https://api.spotify.com/v1/tracks/7hHSeVyAMuwKuzVrULYS5l,audio_features,spotify:track:7hHSeVyAMuwKuzVrULYS5l,0.376
1,Budakid, On An Empty Page  ,unknown,0.00829,https://api.spotify.com/v1/audio-analysis/2x3pwjlWgJwjhJuJWF1MKw,0.707,193631.0,0.705,2x3pwjlWgJwjhJuJWF1MKw,0.898,5.0,0.119,-10.745,1.0,0.0428,118.99,4.0,https://api.spotify.com/v1/tracks/2x3pwjlWgJwjhJuJWF1MKw,audio_features,spotify:track:2x3pwjlWgJwjhJuJWF1MKw,0.397
2,Arnaud Le Texier, Nightleads  ,unknown,0.0534,https://api.spotify.com/v1/audio-analysis/2RE9zjqj6qpbqnbAoTgfuc,0.833,510252.0,0.361,2RE9zjqj6qpbqnbAoTgfuc,0.919,10.0,0.0916,-16.203,1.0,0.135,123.001,4.0,https://api.spotify.com/v1/tracks/2RE9zjqj6qpbqnbAoTgfuc,audio_features,spotify:track:2RE9zjqj6qpbqnbAoTgfuc,0.732
3,Moodmachine, Class Wars  ,unknown,0.00136,https://api.spotify.com/v1/audio-analysis/3rZvKrJJn6K4umUKqu9XoQ,0.849,576721.0,0.583,3rZvKrJJn6K4umUKqu9XoQ,0.902,6.0,0.0845,-10.645,0.0,0.0499,121.004,4.0,https://api.spotify.com/v1/tracks/3rZvKrJJn6K4umUKqu9XoQ,audio_features,spotify:track:3rZvKrJJn6K4umUKqu9XoQ,0.539
4,DAVI Definition, Hang  ,unknown,0.000822,https://api.spotify.com/v1/audio-analysis/3hufTfiut1kwcJthiMB7Wo,0.807,384237.0,0.499,3hufTfiut1kwcJthiMB7Wo,0.862,7.0,0.0739,-11.104,1.0,0.0471,121.003,4.0,https://api.spotify.com/v1/tracks/3hufTfiut1kwcJthiMB7Wo,audio_features,spotify:track:3hufTfiut1kwcJthiMB7Wo,0.246
5,Santiago Garcia, Serenata  ,unknown,0.0437,https://api.spotify.com/v1/audio-analysis/6UwPx5fS63lXWFXbbD1A1z,0.767,350264.0,0.814,6UwPx5fS63lXWFXbbD1A1z,0.952,6.0,0.0715,-9.232,0.0,0.0428,121.997,4.0,https://api.spotify.com/v1/tracks/6UwPx5fS63lXWFXbbD1A1z,audio_features,spotify:track:6UwPx5fS63lXWFXbbD1A1z,0.406
6,Dauwd, Moiety  ,unknown,0.53,https://api.spotify.com/v1/audio-analysis/7dhzeHDWhx1ZlbqYLS9utp,0.692,413821.0,0.427,7dhzeHDWhx1ZlbqYLS9utp,0.89,1.0,0.0942,-14.95,1.0,0.0476,118.01,3.0,https://api.spotify.com/v1/tracks/7dhzeHDWhx1ZlbqYLS9utp,audio_features,spotify:track:7dhzeHDWhx1ZlbqYLS9utp,0.165
7,Adam Port, Do You Still Think Of Me?  ,unknown,0.00307,https://api.spotify.com/v1/audio-analysis/60sVtP64olfBZlWqKc1nmm,0.731,525901.0,0.907,60sVtP64olfBZlWqKc1nmm,0.895,1.0,0.0807,-8.253,0.0,0.0404,120.999,4.0,https://api.spotify.com/v1/tracks/60sVtP64olfBZlWqKc1nmm,audio_features,spotify:track:60sVtP64olfBZlWqKc1nmm,0.254
8,Chicola, Velvet Afternoon ,Karmon Remix,0.0134,https://api.spotify.com/v1/audio-analysis/6l4wd050T9hIJzA04Imdke,0.805,486017.0,0.838,6l4wd050T9hIJzA04Imdke,0.926,4.0,0.0909,-10.016,0.0,0.0482,115.993,4.0,https://api.spotify.com/v1/tracks/6l4wd050T9hIJzA04Imdke,audio_features,spotify:track:6l4wd050T9hIJzA04Imdke,0.145
9,Page Nils Penner, The Power Of Sound ,Dub Mix,0.0902,https://api.spotify.com/v1/audio-analysis/1osUSKuAjLzJU2ZPr2oDua,0.643,379019.0,0.415,1osUSKuAjLzJU2ZPr2oDua,0.713,11.0,0.0832,-15.96,0.0,0.0622,121.986,4.0,https://api.spotify.com/v1/tracks/1osUSKuAjLzJU2ZPr2oDua,audio_features,spotify:track:1osUSKuAjLzJU2ZPr2oDua,0.371
10,Kasper Koman, Iota  ,unknown,0.000489,https://api.spotify.com/v1/audio-analysis/59gCmyylzNl8ChXKZnFQFF,0.801,416529.0,0.918,59gCmyylzNl8ChXKZnFQFF,0.907,11.0,0.0915,-8.907,0.0,0.0517,121.002,4.0,https://api.spotify.com/v1/tracks/59gCmyylzNl8ChXKZnFQFF,audio_features,spotify:track:59gCmyylzNl8ChXKZnFQFF,0.567
11,Charles Davos Olivier Weiter, Neya  ,unknown,7.42e-05,https://api.spotify.com/v1/audio-analysis/0rgF1uW5zrQLvp7OmDMx5j,0.801,275573.0,0.535,0rgF1uW5zrQLvp7OmDMx5j,0.921,8.0,0.121,-11.613,0.0,0.0925,125.998,3.0,https://api.spotify.com/v1/tracks/0rgF1uW5zrQLvp7OmDMx5j,audio_features,spotify:track:0rgF1uW5zrQLvp7OmDMx5j,0.267
12,The Cheapers, Autumn Blues  ,unknown,0.00482,https://api.spotify.com/v1/audio-analysis/55kIuOv6Ygo8JYvaMkbGOw,0.746,412629.0,0.588,55kIuOv6Ygo8JYvaMkbGOw,0.827,4.0,0.649,-10.853,1.0,0.0456,121.004,4.0,https://api.spotify.com/v1/tracks/55kIuOv6Ygo8JYvaMkbGOw,audio_features,spotify:track:55kIuOv6Ygo8JYvaMkbGOw,0.113
13,AFFKT, Fail Fast ,Los Suruba Dubby Dark Remix,0.00136,https://api.spotify.com/v1/audio-analysis/5OBAugO3SE7bDNJdHsUKVV,0.808,445375.0,0.746,5OBAugO3SE7bDNJdHsUKVV,0.922,2.0,0.0486,-9.993,1.0,0.0456,122.003,4.0,https://api.spotify.com/v1/tracks/5OBAugO3SE7bDNJdHsUKVV,audio_features,spotify:track:5OBAugO3SE7bDNJdHsUKVV,0.518
14,Eelke Kleijn, Lovely Sweet Divine  ,unknown,0.00933,https://api.spotify.com/v1/audio-analysis/2NgYjeotWFvIIqu3cDv21J,0.791,473881.0,0.751,2NgYjeotWFvIIqu3cDv21J,0.857,7.0,0.151,-8.676,1.0,0.117,120.004,4.0,https://api.spotify.com/v1/tracks/2NgYjeotWFvIIqu3cDv21J,audio_features,spotify:track:2NgYjeotWFvIIqu3cDv21J,0.658
15,Paul Woolford, Mother & Child  ,unknown,0.00352,https://api.spotify.com/v1/audio-analysis/7Cgft4l7eE05BqNai5776z,0.624,445505.0,0.818,7Cgft4l7eE05BqNai5776z,0.854,10.0,0.0955,-9.243,0.0,0.0351,121.997,4.0,https://api.spotify.com/v1/tracks/7Cgft4l7eE05BqNai5776z,audio_features,spotify:track:7Cgft4l7eE05BqNai5776z,0.48
16,Stereo Underground, Empire Of The Soul  ,unknown,0.00546,https://api.spotify.com/v1/audio-analysis/70l36Bl3pE5UgLbaHVn8GN,0.642,496000.0,0.56,70l36Bl3pE5UgLbaHVn8GN,0.927,2.0,0.0843,-12.45,1.0,0.0484,120.01,4.0,https://api.spotify.com/v1/tracks/70l36Bl3pE5UgLbaHVn8GN,audio_features,spotify:track:70l36Bl3pE5UgLbaHVn8GN,0.348
17,Sébastien Léger, Lost Miracle  ,unknown,0.00924,https://api.spotify.com/v1/audio-analysis/0qCiXEFQCtemGdMnXUKXpB,0.8,603717.0,0.91,0qCiXEFQCtemGdMnXUKXpB,0.865,1.0,0.0737,-9.12,1.0,0.0465,122.015,4.0,https://api.spotify.com/v1/tracks/0qCiXEFQCtemGdMnXUKXpB,audio_features,spotify:track:0qCiXEFQCtemGdMnXUKXpB,0.691
18,Melchior Sultana, Timeless ,Dean Demanuele Remix,0.0617,https://api.spotify.com/v1/audio-analysis/0ElMlh0J0oCfm36lzJUIoy,0.811,389032.0,0.738,0ElMlh0J0oCfm36lzJUIoy,0.552,11.0,0.057,-7.39,1.0,0.0456,124.002,4.0,https://api.spotify.com/v1/tracks/0ElMlh0J0oCfm36lzJUIoy,audio_features,spotify:track:0ElMlh0J0oCfm36lzJUIoy,0.313
19,Dactilar, Inside The Core  ,unknown,0.00202,https://api.spotify.com/v1/audio-analysis/6GVpKLNQSOz3SKEAlzDxXS,0.812,436957.0,0.825,6GVpKLNQSOz3SKEAlzDxXS,0.851,9.0,0.105,-9.766,0.0,0.0529,124.998,4.0,https://api.spotify.com/v1/tracks/6GVpKLNQSOz3SKEAlzDxXS,audio_features,spotify:track:6GVpKLNQSOz3SKEAlzDxXS,0.3
20,Zoo Brazil, Across My Heart  ,unknown,0.000104,https://api.spotify.com/v1/audio-analysis/3XtXmbbSDjSFVlvaAsCqWC,0.809,459086.0,0.757,3XtXmbbSDjSFVlvaAsCqWC,0.898,11.0,0.0787,-7.661,0.0,0.0533,122.008,4.0,https://api.spotify.com/v1/tracks/3XtXmbbSDjSFVlvaAsCqWC,audio_features,spotify:track:3XtXmbbSDjSFVlvaAsCqWC,0.171
21,Tibi Dabo, No Mantra  ,CROSSTOWN REBELS,0.00376,https://api.spotify.com/v1/audio-analysis/58neCX95wEf8B7KT8Cy0RA,0.685,458710.0,0.744,58neCX95wEf8B7KT8Cy0RA,0.838,5.0,0.102,-8.515,1.0,0.0472,123.983,4.0,https://api.spotify.com/v1/tracks/58neCX95wEf8B7KT8Cy0RA,audio_features,spotify:track:58neCX95wEf8B7KT8Cy0RA,0.587
