,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Maverick Sabre Luis Leon, I Need ,Remix,0.348,https://api.spotify.com/v1/audio-analysis/4TOnziP6TsZ6dD7RzEVEqG,0.527,240453.0,0.524,4TOnziP6TsZ6dD7RzEVEqG,0.0,0.0,0.041,-5.586,1.0,0.0435,92.936,4.0,https://api.spotify.com/v1/tracks/4TOnziP6TsZ6dD7RzEVEqG,audio_features,spotify:track:4TOnziP6TsZ6dD7RzEVEqG,0.407
1,Redondo CamelPhat, Paths  ,unknown,0.0584,https://api.spotify.com/v1/audio-analysis/6k8jzRy5p1u1dUmWLFGbc5,0.668,220488.0,0.842,6k8jzRy5p1u1dUmWLFGbc5,0.681,0.0,0.0862,-7.577,1.0,0.0464,123.006,4.0,https://api.spotify.com/v1/tracks/6k8jzRy5p1u1dUmWLFGbc5,audio_features,spotify:track:6k8jzRy5p1u1dUmWLFGbc5,0.655
2,Vato Gonzalez Mucky, Violet Nights  ,unknown,0.242,https://api.spotify.com/v1/audio-analysis/1wu8FheAr8nOawCgGaZhbD,0.752,172381.0,0.71,1wu8FheAr8nOawCgGaZhbD,0.0886,8.0,0.291,-8.681,1.0,0.058,126.031,4.0,https://api.spotify.com/v1/tracks/1wu8FheAr8nOawCgGaZhbD,audio_features,spotify:track:1wu8FheAr8nOawCgGaZhbD,0.67
3,Dave Silcox Pink Panda, Together  ,unknown,0.00201,https://api.spotify.com/v1/audio-analysis/4lzg2YLmbFPcf7VXjd0YnB,0.601,212461.0,0.899,4lzg2YLmbFPcf7VXjd0YnB,0.92,2.0,0.342,-5.139,1.0,0.0797,127.974,4.0,https://api.spotify.com/v1/tracks/4lzg2YLmbFPcf7VXjd0YnB,audio_features,spotify:track:4lzg2YLmbFPcf7VXjd0YnB,0.525
4,Julian Jordan   Stino, Feel The Power  ,unknown,0.0014,https://api.spotify.com/v1/audio-analysis/4HFPGHF0xpfbfNL46HB9cX,0.618,216485.0,0.966,4HFPGHF0xpfbfNL46HB9cX,0.00192,1.0,0.146,-4.281,0.0,0.0798,128.024,4.0,https://api.spotify.com/v1/tracks/4HFPGHF0xpfbfNL46HB9cX,audio_features,spotify:track:4HFPGHF0xpfbfNL46HB9cX,0.557
5,Breathe Carolina Ryos, More Than Ever  ,unknown,0.00305,https://api.spotify.com/v1/audio-analysis/5vAPeVWTs7DBXgR14lGEeq,0.463,223359.0,0.798,5vAPeVWTs7DBXgR14lGEeq,0.000196,8.0,0.137,-4.454,0.0,0.0609,128.031,4.0,https://api.spotify.com/v1/tracks/5vAPeVWTs7DBXgR14lGEeq,audio_features,spotify:track:5vAPeVWTs7DBXgR14lGEeq,0.235
6,Quintino Yves V   Gia Koka, Unbroken  ,unknown,0.000466,https://api.spotify.com/v1/audio-analysis/0FNtBIL5lHcn7pLV7P6TGv,0.567,185625.0,0.772,0FNtBIL5lHcn7pLV7P6TGv,3.25e-05,5.0,0.254,-4.261,1.0,0.058,128.074,4.0,https://api.spotify.com/v1/tracks/0FNtBIL5lHcn7pLV7P6TGv,audio_features,spotify:track:0FNtBIL5lHcn7pLV7P6TGv,0.11
7,KURA, Kubano  ,SPINNIN',0.00143,https://api.spotify.com/v1/audio-analysis/1UMBXWrftg4kU7jCPOZam8,0.647,166875.0,0.979,1UMBXWrftg4kU7jCPOZam8,0.0971,2.0,0.245,-4.015,0.0,0.345,128.123,4.0,https://api.spotify.com/v1/tracks/1UMBXWrftg4kU7jCPOZam8,audio_features,spotify:track:1UMBXWrftg4kU7jCPOZam8,0.148
8,Apster NLW, Soundboy  ,unknown,0.00693,https://api.spotify.com/v1/audio-analysis/0iidHa7aNT6OOop0JDmFHq,0.56,152109.0,0.975,0iidHa7aNT6OOop0JDmFHq,0.698,7.0,0.378,-3.064,1.0,0.0659,127.97,4.0,https://api.spotify.com/v1/tracks/0iidHa7aNT6OOop0JDmFHq,audio_features,spotify:track:0iidHa7aNT6OOop0JDmFHq,0.342
9,Chocolate Puma, Popatron  ,unknown,0.0221,https://api.spotify.com/v1/audio-analysis/1iCJ6zShvITct1CSht7QYe,0.85,213543.0,0.736,1iCJ6zShvITct1CSht7QYe,0.915,7.0,0.0948,-7.261,1.0,0.428,127.102,4.0,https://api.spotify.com/v1/tracks/1iCJ6zShvITct1CSht7QYe,audio_features,spotify:track:1iCJ6zShvITct1CSht7QYe,0.403
10,Swedish House Mafia, One ,Garmiani Remix,0.0075,https://api.spotify.com/v1/audio-analysis/41KPpw0EZCytxNkmEMJVgr,0.802,169920.0,0.781,41KPpw0EZCytxNkmEMJVgr,0.825,0.0,0.147,-6.564,1.0,0.0368,125.026,4.0,https://api.spotify.com/v1/tracks/41KPpw0EZCytxNkmEMJVgr,audio_features,spotify:track:41KPpw0EZCytxNkmEMJVgr,0.622
11,KAAZE Kenneth G, Blaster  ,unknown,0.0754,https://api.spotify.com/v1/audio-analysis/6aACKMomoQWC5M0FWpc2Em,0.706,160000.0,0.83,6aACKMomoQWC5M0FWpc2Em,0.165,2.0,0.248,-1.289,1.0,0.0845,150.03,4.0,https://api.spotify.com/v1/tracks/6aACKMomoQWC5M0FWpc2Em,audio_features,spotify:track:6aACKMomoQWC5M0FWpc2Em,0.211
