,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Norman Doray, Troublemaker  ,unknown,0.000391,https://api.spotify.com/v1/audio-analysis/1shFWeLexWUjidV0XnHgcX,0.7,341265.0,0.624,1shFWeLexWUjidV0XnHgcX,0.789,7.0,0.258,-5.97,1.0,0.0495,128.008,4.0,https://api.spotify.com/v1/tracks/1shFWeLexWUjidV0XnHgcX,audio_features,spotify:track:1shFWeLexWUjidV0XnHgcX,0.196
1,Don Diablo CID, Prototype  ,unknown,0.713,https://api.spotify.com/v1/audio-analysis/3NRHc71bCHHWNFN0xf7fcS,0.64,228466.0,0.366,3NRHc71bCHHWNFN0xf7fcS,0.918,9.0,0.144,-13.251,0.0,0.0276,109.998,1.0,https://api.spotify.com/v1/tracks/3NRHc71bCHHWNFN0xf7fcS,audio_features,spotify:track:3NRHc71bCHHWNFN0xf7fcS,0.197
2,Joris Voorn, Ringo  ,unknown,0.039,https://api.spotify.com/v1/audio-analysis/0MLZgxAe28WhMLIepQ48f9,0.75,410664.0,0.755,0MLZgxAe28WhMLIepQ48f9,0.906,5.0,0.203,-9.044,0.0,0.051,121.994,4.0,https://api.spotify.com/v1/tracks/0MLZgxAe28WhMLIepQ48f9,audio_features,spotify:track:0MLZgxAe28WhMLIepQ48f9,0.73
3,Dimitri Vegas Like Mike   Sander Van Doorn, Project T  ,unknown,0.00358,https://api.spotify.com/v1/audio-analysis/5Qw6359qWB9JdwIXYS0lxj,0.561,312197.0,0.725,5Qw6359qWB9JdwIXYS0lxj,0.857,9.0,0.0872,-7.212,0.0,0.042,127.993,4.0,https://api.spotify.com/v1/tracks/5Qw6359qWB9JdwIXYS0lxj,audio_features,spotify:track:5Qw6359qWB9JdwIXYS0lxj,0.117
4,Hard Rock Sofa Swanky Tunes, Stop In My Mind  ,ARMADA,0.00204,https://api.spotify.com/v1/audio-analysis/5QZSjjbNyTNUGGOZLS9TMJ,0.616,298325.0,0.979,5QZSjjbNyTNUGGOZLS9TMJ,0.147,0.0,0.0768,-2.244,1.0,0.0636,128.011,4.0,https://api.spotify.com/v1/tracks/5QZSjjbNyTNUGGOZLS9TMJ,audio_features,spotify:track:5QZSjjbNyTNUGGOZLS9TMJ,0.406
5,Steve Aoki Chris Lake TUJAMO, Boneless  ,unknown,0.00445,https://api.spotify.com/v1/audio-analysis/4qPnE8jBZN3wmgGxspsOcP,0.743,270000.0,0.962,4qPnE8jBZN3wmgGxspsOcP,0.613,11.0,0.352,-3.205,0.0,0.0629,127.99,4.0,https://api.spotify.com/v1/tracks/4qPnE8jBZN3wmgGxspsOcP,audio_features,spotify:track:4qPnE8jBZN3wmgGxspsOcP,0.643
6,DVBBS BORGEOUS, Tsunami  ,SPINNIN',0.049,https://api.spotify.com/v1/audio-analysis/3felG0BIvmmOoCIeE2A5vq,0.698,236827.0,0.838,3felG0BIvmmOoCIeE2A5vq,0.758,4.0,0.0892,-5.371,0.0,0.0499,128.004,4.0,https://api.spotify.com/v1/tracks/3felG0BIvmmOoCIeE2A5vq,audio_features,spotify:track:3felG0BIvmmOoCIeE2A5vq,0.289
7,Sidney Samson   Killfake, Revenge Of The Acid  ,SPINNIN',0.000959,https://api.spotify.com/v1/audio-analysis/2s1LKyW9KSrnxH36XvwEq1,0.525,367500.0,0.998,2s1LKyW9KSrnxH36XvwEq1,0.924,4.0,0.0646,-5.367,0.0,0.0745,126.983,4.0,https://api.spotify.com/v1/tracks/2s1LKyW9KSrnxH36XvwEq1,audio_features,spotify:track:2s1LKyW9KSrnxH36XvwEq1,0.153
8,Meital Dohan, Give Us Back Love ,Sidney Samson Club Mix,0.0175,https://api.spotify.com/v1/audio-analysis/1KXFFNJdeCpDDRZh4XQT7n,0.469,246857.0,0.933,1KXFFNJdeCpDDRZh4XQT7n,0.0,6.0,0.0768,-2.782,1.0,0.0633,139.981,4.0,https://api.spotify.com/v1/tracks/1KXFFNJdeCpDDRZh4XQT7n,audio_features,spotify:track:1KXFFNJdeCpDDRZh4XQT7n,0.311
9,Mariah Carey   Miguel, #Beautiful ,Sidney Samson Remix,0.346,https://api.spotify.com/v1/audio-analysis/617KSbx52ACbnQBxSsG26X,0.677,199867.0,0.749,617KSbx52ACbnQBxSsG26X,0.0,4.0,0.347,-5.405,1.0,0.0391,107.042,4.0,https://api.spotify.com/v1/tracks/617KSbx52ACbnQBxSsG26X,audio_features,spotify:track:617KSbx52ACbnQBxSsG26X,0.469
