,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Watermät, Bullit  ,unknown,0.127,https://api.spotify.com/v1/audio-analysis/0HFmNBn8c5oHCkg8oEjEEA,0.556,195000.0,0.745,0HFmNBn8c5oHCkg8oEjEEA,0.372,5.0,0.0954,-4.254,1.0,0.0745,122.035,4.0,https://api.spotify.com/v1/tracks/0HFmNBn8c5oHCkg8oEjEEA,audio_features,spotify:track:0HFmNBn8c5oHCkg8oEjEEA,0.426
1,Mike Mago Dragonette, Outlines  ,unknown,0.0903,https://api.spotify.com/v1/audio-analysis/5jMvwTgvkTc9730UgUf8Fj,0.731,176414.0,0.782,5jMvwTgvkTc9730UgUf8Fj,0.0867,9.0,0.182,-7.358,1.0,0.0665,122.964,4.0,https://api.spotify.com/v1/tracks/5jMvwTgvkTc9730UgUf8Fj,audio_features,spotify:track:5jMvwTgvkTc9730UgUf8Fj,0.735
2,Swan, Love U  ,unknown,0.00185,https://api.spotify.com/v1/audio-analysis/4V0VamDydIHyaeHiHJ4clP,0.786,308852.0,0.895,4V0VamDydIHyaeHiHJ4clP,0.875,6.0,0.592,-7.969,0.0,0.0582,122.005,4.0,https://api.spotify.com/v1/tracks/4V0VamDydIHyaeHiHJ4clP,audio_features,spotify:track:4V0VamDydIHyaeHiHJ4clP,0.635
3,ZHU, Faded  ,unknown,0.00843,https://api.spotify.com/v1/audio-analysis/2GQEM9JuHu30sGFvRYeCxz,0.867,223480.0,0.477,2GQEM9JuHu30sGFvRYeCxz,0.175,9.0,0.113,-7.183,0.0,0.049,124.979,4.0,https://api.spotify.com/v1/tracks/2GQEM9JuHu30sGFvRYeCxz,audio_features,spotify:track:2GQEM9JuHu30sGFvRYeCxz,0.614
4,Mr. Belt Wezol, Feel So Good  ,unknown,0.0735,https://api.spotify.com/v1/audio-analysis/703QxJi0rGl9E0mFLcYADN,0.761,394815.0,0.725,703QxJi0rGl9E0mFLcYADN,0.704,10.0,0.19,-4.882,1.0,0.0425,123.022,4.0,https://api.spotify.com/v1/tracks/703QxJi0rGl9E0mFLcYADN,audio_features,spotify:track:703QxJi0rGl9E0mFLcYADN,0.658
5,Le Youth, Girl  ,unknown,0.00597,https://api.spotify.com/v1/audio-analysis/6LDbsAWizWoiFLL79zFbnu,0.831,271369.0,0.944,6LDbsAWizWoiFLL79zFbnu,0.0337,11.0,0.0758,-5.302,0.0,0.111,120.031,4.0,https://api.spotify.com/v1/tracks/6LDbsAWizWoiFLL79zFbnu,audio_features,spotify:track:6LDbsAWizWoiFLL79zFbnu,0.729
6,The Voyagers   Haris, A Lot Like Love ,Oliver Heldens Edit,0.0017,https://api.spotify.com/v1/audio-analysis/3s1FyqufnQjZTqhfbMpSeb,0.815,286337.0,0.817,3s1FyqufnQjZTqhfbMpSeb,0.205,2.0,0.0715,-5.51,1.0,0.0496,124.986,4.0,https://api.spotify.com/v1/tracks/3s1FyqufnQjZTqhfbMpSeb,audio_features,spotify:track:3s1FyqufnQjZTqhfbMpSeb,0.445
7,CamelPhat, The Act  ,unknown,0.0145,https://api.spotify.com/v1/audio-analysis/6q2XDK74ZBnY9EkGtZBAr5,0.698,196898.0,0.889,6q2XDK74ZBnY9EkGtZBAr5,0.929,4.0,0.0626,-6.822,1.0,0.0345,121.999,4.0,https://api.spotify.com/v1/tracks/6q2XDK74ZBnY9EkGtZBAr5,audio_features,spotify:track:6q2XDK74ZBnY9EkGtZBAr5,0.471
8,Sander Kleinenberg, We,unknown,0.000962,https://api.spotify.com/v1/audio-analysis/4l8bLnVTTGbhpATzuOWFVV,0.755,209280.0,0.94,4l8bLnVTTGbhpATzuOWFVV,0.00106,10.0,0.0523,-6.583,0.0,0.0779,124.968,4.0,https://api.spotify.com/v1/tracks/4l8bLnVTTGbhpATzuOWFVV,audio_features,spotify:track:4l8bLnVTTGbhpATzuOWFVV,0.426
9,TST MOGUAI Amba Shepherd, Real Life  ,unknown,0.00673,https://api.spotify.com/v1/audio-analysis/7rUS4m0fjwv5y3ZDr3QT5D,0.519,211172.0,0.831,7rUS4m0fjwv5y3ZDr3QT5D,0.0237,5.0,0.079,-4.273,1.0,0.0695,128.107,4.0,https://api.spotify.com/v1/tracks/7rUS4m0fjwv5y3ZDr3QT5D,audio_features,spotify:track:7rUS4m0fjwv5y3ZDr3QT5D,0.335
