,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Lucas Steve, Fearless  ,unknown,0.000382,https://api.spotify.com/v1/audio-analysis/1r5xWxhr6EniGJ4v4uQOyZ,0.68,294783.0,0.915,1r5xWxhr6EniGJ4v4uQOyZ,0.732,10.0,0.0256,-4.246,0.0,0.0363,125.011,4.0,https://api.spotify.com/v1/tracks/1r5xWxhr6EniGJ4v4uQOyZ,audio_features,spotify:track:1r5xWxhr6EniGJ4v4uQOyZ,0.17
1,Chocolate Puma, I Could Be Wrong  ,unknown,0.18,https://api.spotify.com/v1/audio-analysis/4Ei48zucx2SP1LOaErK6Ji,0.74,173256.0,0.901,4Ei48zucx2SP1LOaErK6Ji,0.00213,1.0,0.0429,-4.588,1.0,0.0401,125.015,4.0,https://api.spotify.com/v1/tracks/4Ei48zucx2SP1LOaErK6Ji,audio_features,spotify:track:4Ei48zucx2SP1LOaErK6Ji,0.66
2,Martin Solveig   Sam White, +1  ,unknown,,,,,,,,,,,,,,,,,,
3,Chuckie, Want You Back  ,SPINNIN',0.00412,https://api.spotify.com/v1/audio-analysis/6m2QvpZoonkgKhYbysCtWO,0.759,195524.0,0.906,6m2QvpZoonkgKhYbysCtWO,0.889,5.0,0.132,-5.17,1.0,0.0633,127.994,4.0,https://api.spotify.com/v1/tracks/6m2QvpZoonkgKhYbysCtWO,audio_features,spotify:track:6m2QvpZoonkgKhYbysCtWO,0.752
4,Merk Kremont, Get Get Down  ,unknown,0.00724,https://api.spotify.com/v1/audio-analysis/01auWCuHXubb8KPZ0IXF4S,0.601,181875.0,0.933,01auWCuHXubb8KPZ0IXF4S,0.0134,11.0,0.468,-4.087,0.0,0.0764,128.032,4.0,https://api.spotify.com/v1/tracks/01auWCuHXubb8KPZ0IXF4S,audio_features,spotify:track:01auWCuHXubb8KPZ0IXF4S,0.332
5,Tom Staar, Higher  ,SPINNIN',0.0101,https://api.spotify.com/v1/audio-analysis/3wNdSbwkdsdr6lq3Wbp86d,0.577,236173.0,0.832,3wNdSbwkdsdr6lq3Wbp86d,0.000442,9.0,0.0863,-5.336,1.0,0.0253,129.157,4.0,https://api.spotify.com/v1/tracks/3wNdSbwkdsdr6lq3Wbp86d,audio_features,spotify:track:3wNdSbwkdsdr6lq3Wbp86d,0.847
6,MOTi, House Of Now ,Tiësto Edit,7.28e-05,https://api.spotify.com/v1/audio-analysis/2wKEQFKicVzKc77wskAtkB,0.552,127320.0,0.911,2wKEQFKicVzKc77wskAtkB,0.918,7.0,0.338,-8.586,1.0,0.0423,128.197,4.0,https://api.spotify.com/v1/tracks/2wKEQFKicVzKc77wskAtkB,audio_features,spotify:track:2wKEQFKicVzKc77wskAtkB,0.19
7,Alpharock, FAWL  ,unknown,0.00495,https://api.spotify.com/v1/audio-analysis/3vVDQP9eKmAeK3BXBlbb4S,0.553,227033.0,0.81,3vVDQP9eKmAeK3BXBlbb4S,0.024,11.0,0.494,-5.631,0.0,0.054,128.04,4.0,https://api.spotify.com/v1/tracks/3vVDQP9eKmAeK3BXBlbb4S,audio_features,spotify:track:3vVDQP9eKmAeK3BXBlbb4S,0.287
8,Sam Feldt   Kimberly Anne, Show Me Love ,Quintino Remix,0.122,https://api.spotify.com/v1/audio-analysis/1UYWTKLpyLV8Ko5GcTTQgo,0.674,253125.0,0.887,1UYWTKLpyLV8Ko5GcTTQgo,0.000168,0.0,0.0599,-3.893,1.0,0.23,128.091,4.0,https://api.spotify.com/v1/tracks/1UYWTKLpyLV8Ko5GcTTQgo,audio_features,spotify:track:1UYWTKLpyLV8Ko5GcTTQgo,0.262
9,DVBBS, White Clouds  ,unknown,0.00137,https://api.spotify.com/v1/audio-analysis/7nWFsx5sGthv7SiMeN7OKl,0.567,289209.0,0.853,7nWFsx5sGthv7SiMeN7OKl,5.36e-05,10.0,0.277,-3.822,0.0,0.0657,127.949,4.0,https://api.spotify.com/v1/tracks/7nWFsx5sGthv7SiMeN7OKl,audio_features,spotify:track:7nWFsx5sGthv7SiMeN7OKl,0.506
10,Jay Hardway, Wake Up  ,unknown,0.0177,https://api.spotify.com/v1/audio-analysis/2Sttj9ZUIAQcUcOF6jIzVP,0.549,179183.0,0.86,2Sttj9ZUIAQcUcOF6jIzVP,0.208,8.0,0.186,-5.622,0.0,0.061,128.07,4.0,https://api.spotify.com/v1/tracks/2Sttj9ZUIAQcUcOF6jIzVP,audio_features,spotify:track:2Sttj9ZUIAQcUcOF6jIzVP,0.581
11,R3HAB   Skytech Fafaq, Tiger  ,unknown,0.00193,https://api.spotify.com/v1/audio-analysis/6GCJDM58eE02M06FJDLlYp,0.662,200628.0,0.877,6GCJDM58eE02M06FJDLlYp,0.00644,2.0,0.0775,-3.592,1.0,0.0557,127.994,4.0,https://api.spotify.com/v1/tracks/6GCJDM58eE02M06FJDLlYp,audio_features,spotify:track:6GCJDM58eE02M06FJDLlYp,0.441
12,MR.BLACK TS'VI ONO, Chunky Monkey  ,unknown,,,,,,,,,,,,,,,,,,
13,Garmiani, Nomad  ,unknown,0.0227,https://api.spotify.com/v1/audio-analysis/4uN3TXxFNmvcOrynnKmsB0,0.658,230742.0,0.992,4uN3TXxFNmvcOrynnKmsB0,0.854,11.0,0.344,-0.406,0.0,0.135,127.997,4.0,https://api.spotify.com/v1/tracks/4uN3TXxFNmvcOrynnKmsB0,audio_features,spotify:track:4uN3TXxFNmvcOrynnKmsB0,0.079
14,Wiwek, Bollydome  ,unknown,0.00784,https://api.spotify.com/v1/audio-analysis/3SSNpDaSSF0mHKYwVMEPDw,0.669,257578.0,0.943,3SSNpDaSSF0mHKYwVMEPDw,0.87,5.0,0.354,-3.322,0.0,0.0749,128.018,4.0,https://api.spotify.com/v1/tracks/3SSNpDaSSF0mHKYwVMEPDw,audio_features,spotify:track:3SSNpDaSSF0mHKYwVMEPDw,0.541
15,Eptic, The End ,Carnage & Breaux Festival Trap Remix / Nom De Strip Bootleg,0.00305,https://api.spotify.com/v1/audio-analysis/3bv9gEsd9pbkutJkg1kL0g,0.732,133986.0,0.943,3bv9gEsd9pbkutJkg1kL0g,0.589,4.0,0.732,-5.043,1.0,0.0689,139.896,4.0,https://api.spotify.com/v1/tracks/3bv9gEsd9pbkutJkg1kL0g,audio_features,spotify:track:3bv9gEsd9pbkutJkg1kL0g,0.0335
16,DVBBS Mike Hawkins, Telephone  ,unknown,0.0134,https://api.spotify.com/v1/audio-analysis/11uIPcDzfmKeJXZOaRJVPX,0.553,181175.0,0.697,11uIPcDzfmKeJXZOaRJVPX,1.33e-05,9.0,0.122,-5.682,1.0,0.0418,128.529,4.0,https://api.spotify.com/v1/tracks/11uIPcDzfmKeJXZOaRJVPX,audio_features,spotify:track:11uIPcDzfmKeJXZOaRJVPX,0.693
17,DVBBS, Always  ,unknown,,,,,,,,,,,,,,,,,,
