,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Josh Butler, Got A Feeling ,Bontan Remix,0.00126,https://api.spotify.com/v1/audio-analysis/3yQShCdLvKqZG8QwxX6TEH,0.848,408067.0,0.485,3yQShCdLvKqZG8QwxX6TEH,0.011,11.0,0.0421,-6.432,0.0,0.0491,123.993,4.0,https://api.spotify.com/v1/tracks/3yQShCdLvKqZG8QwxX6TEH,audio_features,spotify:track:3yQShCdLvKqZG8QwxX6TEH,0.306
1,Paul Woolford, Untitled  ,unknown,0.00848,https://api.spotify.com/v1/audio-analysis/6eh4p8qnJsm7GFCNFpSaoD,0.479,373653.0,0.972,6eh4p8qnJsm7GFCNFpSaoD,0.707,1.0,0.0912,-6.671,1.0,0.0706,125.672,4.0,https://api.spotify.com/v1/tracks/6eh4p8qnJsm7GFCNFpSaoD,audio_features,spotify:track:6eh4p8qnJsm7GFCNFpSaoD,0.541
2,Starkillers, Ride  ,SPINNIN',0.00735,https://api.spotify.com/v1/audio-analysis/3dBlrjQGVP5UKTPHUCHQke,0.597,306231.0,0.967,3dBlrjQGVP5UKTPHUCHQke,0.826,1.0,0.0765,-1.701,1.0,0.0483,130.002,4.0,https://api.spotify.com/v1/tracks/3dBlrjQGVP5UKTPHUCHQke,audio_features,spotify:track:3dBlrjQGVP5UKTPHUCHQke,0.475
3,Dimitri Vegas Like Mike, Chattahoochee ,Tomorrowland 2013 Anthem,0.00487,https://api.spotify.com/v1/audio-analysis/4CQAOUbUQnKtsnDroEDAHR,0.545,366142.0,0.891,4CQAOUbUQnKtsnDroEDAHR,1.46e-06,2.0,0.262,-3.604,0.0,0.113,127.029,4.0,https://api.spotify.com/v1/tracks/4CQAOUbUQnKtsnDroEDAHR,audio_features,spotify:track:4CQAOUbUQnKtsnDroEDAHR,0.215
4,DVBBS BORGEOUS, Tsunami  ,SPINNIN',0.049,https://api.spotify.com/v1/audio-analysis/3felG0BIvmmOoCIeE2A5vq,0.698,236827.0,0.838,3felG0BIvmmOoCIeE2A5vq,0.758,4.0,0.0892,-5.371,0.0,0.0499,128.004,4.0,https://api.spotify.com/v1/tracks/3felG0BIvmmOoCIeE2A5vq,audio_features,spotify:track:3felG0BIvmmOoCIeE2A5vq,0.289
5,Kaskade, Atmosphere ,GTA Remix,0.00159,https://api.spotify.com/v1/audio-analysis/3HHHQEqycRX5DNgxEgBGgi,0.682,347387.0,0.932,3HHHQEqycRX5DNgxEgBGgi,0.102,5.0,0.0179,-5.172,0.0,0.0824,128.004,4.0,https://api.spotify.com/v1/tracks/3HHHQEqycRX5DNgxEgBGgi,audio_features,spotify:track:3HHHQEqycRX5DNgxEgBGgi,0.25
6,Marcus Schossow, Reverie  ,unknown,0.0207,https://api.spotify.com/v1/audio-analysis/7BHA1t2y6GupZgZqpsnug5,0.581,342857.0,0.971,7BHA1t2y6GupZgZqpsnug5,0.813,2.0,0.219,-7.372,1.0,0.0402,126.006,4.0,https://api.spotify.com/v1/tracks/7BHA1t2y6GupZgZqpsnug5,audio_features,spotify:track:7BHA1t2y6GupZgZqpsnug5,0.0793
7,Greenflash   Dyna, Taboem  ,unknown,0.115,https://api.spotify.com/v1/audio-analysis/0ruNevl8BGJY4LaNBEP32E,0.757,311135.0,0.776,0ruNevl8BGJY4LaNBEP32E,0.828,4.0,0.182,-7.214,0.0,0.0741,130.028,4.0,https://api.spotify.com/v1/tracks/0ruNevl8BGJY4LaNBEP32E,audio_features,spotify:track:0ruNevl8BGJY4LaNBEP32E,0.453
8,Jacob Van Hage, Hybrid  ,unknown,0.00921,https://api.spotify.com/v1/audio-analysis/3YTXIWk1rufk5NDDaQqfep,0.68,328125.0,0.735,3YTXIWk1rufk5NDDaQqfep,0.907,9.0,0.158,-7.365,1.0,0.046,127.998,4.0,https://api.spotify.com/v1/tracks/3YTXIWk1rufk5NDDaQqfep,audio_features,spotify:track:3YTXIWk1rufk5NDDaQqfep,0.309
9,Ferry Corsten Bassjackers, Collision  ,unknown,0.000388,https://api.spotify.com/v1/audio-analysis/0zpJoPUEUjDnDnfYcWTmOF,0.585,316496.0,0.676,0zpJoPUEUjDnDnfYcWTmOF,0.31,5.0,0.0706,-8.364,1.0,0.0373,127.989,4.0,https://api.spotify.com/v1/tracks/0zpJoPUEUjDnDnfYcWTmOF,audio_features,spotify:track:0zpJoPUEUjDnDnfYcWTmOF,0.179
