,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Ummet Ozcan R3HAB NERVO, Revolution ,Audien Remix,0.00991,https://api.spotify.com/v1/audio-analysis/7IXNAZEJT7wOuCerK60pQj,0.622,203438.0,0.862,7IXNAZEJT7wOuCerK60pQj,0.0211,7.0,0.79,-4.89,0.0,0.0384,127.967,4.0,https://api.spotify.com/v1/tracks/7IXNAZEJT7wOuCerK60pQj,audio_features,spotify:track:7IXNAZEJT7wOuCerK60pQj,0.0472
1,KAAZE Michael Feiner, We Will Recover  ,unknown,0.00931,https://api.spotify.com/v1/audio-analysis/2Yijj4UDXFfOttUu2eRJ3R,0.582,203672.0,0.866,2Yijj4UDXFfOttUu2eRJ3R,2.18e-05,11.0,0.164,-3.846,0.0,0.0713,127.956,4.0,https://api.spotify.com/v1/tracks/2Yijj4UDXFfOttUu2eRJ3R,audio_features,spotify:track:2Yijj4UDXFfOttUu2eRJ3R,0.586
2,FTampa, 5 Days  ,SPINNIN',0.000497,https://api.spotify.com/v1/audio-analysis/5GKrOm78cPTKKQDTIStJ0y,0.6,187617.0,0.942,5GKrOm78cPTKKQDTIStJ0y,0.904,5.0,0.167,-5.693,0.0,0.075,127.999,4.0,https://api.spotify.com/v1/tracks/5GKrOm78cPTKKQDTIStJ0y,audio_features,spotify:track:5GKrOm78cPTKKQDTIStJ0y,0.141
3,Sander Van Doorn Martin Garrix DVBBS   Aleesia, Gold Skies  ,unknown,0.00426,https://api.spotify.com/v1/audio-analysis/5vQIaNoKsT4xkG1j2KFBFs,0.562,328213.0,0.815,5vQIaNoKsT4xkG1j2KFBFs,0.0615,9.0,0.664,-6.322,0.0,0.046,128.02,4.0,https://api.spotify.com/v1/tracks/5vQIaNoKsT4xkG1j2KFBFs,audio_features,spotify:track:5vQIaNoKsT4xkG1j2KFBFs,0.196
4,BURNS, EMOS  ,unknown,0.00159,https://api.spotify.com/v1/audio-analysis/2Pp1iMnAhecPSRO5riUBXe,0.708,266430.0,0.895,2Pp1iMnAhecPSRO5riUBXe,0.291,9.0,0.235,-5.022,1.0,0.14,126.99,4.0,https://api.spotify.com/v1/tracks/2Pp1iMnAhecPSRO5riUBXe,audio_features,spotify:track:2Pp1iMnAhecPSRO5riUBXe,0.524
5,Ummet Ozcan, SMASH!  ,unknown,0.0216,https://api.spotify.com/v1/audio-analysis/26sHC8M6jrhNjlCDz01eAZ,0.726,214000.0,0.967,26sHC8M6jrhNjlCDz01eAZ,0.611,1.0,0.0658,-3.166,1.0,0.0433,128.004,4.0,https://api.spotify.com/v1/tracks/26sHC8M6jrhNjlCDz01eAZ,audio_features,spotify:track:26sHC8M6jrhNjlCDz01eAZ,0.28
6,R3HAB, Samurai ,Go Hard,0.00887,https://api.spotify.com/v1/audio-analysis/43k8fgVQhZYZ6Mt6LtRnQw,0.63,296250.0,0.821,43k8fgVQhZYZ6Mt6LtRnQw,0.773,2.0,0.218,-4.976,0.0,0.0382,128.019,4.0,https://api.spotify.com/v1/tracks/43k8fgVQhZYZ6Mt6LtRnQw,audio_features,spotify:track:43k8fgVQhZYZ6Mt6LtRnQw,0.235
7,MOGUAI, The Future  ,unknown,0.000493,https://api.spotify.com/v1/audio-analysis/7m5NRogCbOO6HYqHIoKKO5,0.738,341250.0,0.75,7m5NRogCbOO6HYqHIoKKO5,0.0906,10.0,0.322,-3.626,0.0,0.0629,128.018,4.0,https://api.spotify.com/v1/tracks/7m5NRogCbOO6HYqHIoKKO5,audio_features,spotify:track:7m5NRogCbOO6HYqHIoKKO5,0.0378
8,Daft Punk, Fresh  ,Intro Edit,0.268,https://api.spotify.com/v1/audio-analysis/78H72MElkOY9cRnaudxZFY,0.503,244400.0,0.952,78H72MElkOY9cRnaudxZFY,0.272,1.0,0.875,-9.308,1.0,0.572,126.345,4.0,https://api.spotify.com/v1/tracks/78H72MElkOY9cRnaudxZFY,audio_features,spotify:track:78H72MElkOY9cRnaudxZFY,0.174
9,Bon Iver, Babys ,Urban Contact Summer Soul Remix,0.951,https://api.spotify.com/v1/audio-analysis/3JyF8ScODLObqENFb9shYF,0.595,283613.0,0.416,3JyF8ScODLObqENFb9shYF,0.691,2.0,0.0835,-13.942,1.0,0.0323,91.885,4.0,https://api.spotify.com/v1/tracks/3JyF8ScODLObqENFb9shYF,audio_features,spotify:track:3JyF8ScODLObqENFb9shYF,0.0393
10,Claptone   Jaw, No Eyes ,MYNGA Remix,0.0289,https://api.spotify.com/v1/audio-analysis/1a8tAQAzHIPQ00OPBXGWPz,0.93,204992.0,0.483,1a8tAQAzHIPQ00OPBXGWPz,0.00244,3.0,0.103,-9.925,1.0,0.0411,120.022,4.0,https://api.spotify.com/v1/tracks/1a8tAQAzHIPQ00OPBXGWPz,audio_features,spotify:track:1a8tAQAzHIPQ00OPBXGWPz,0.57
11,Mickey, Sweet Baby  ,unknown,0.0011,https://api.spotify.com/v1/audio-analysis/1gp6Kj9hWnDciPffJdB2X5,0.81,326287.0,0.631,1gp6Kj9hWnDciPffJdB2X5,0.701,6.0,0.0491,-10.917,1.0,0.0481,121.006,4.0,https://api.spotify.com/v1/tracks/1gp6Kj9hWnDciPffJdB2X5,audio_features,spotify:track:1gp6Kj9hWnDciPffJdB2X5,0.36
12,Moby   Damien Jurado, Almost Home ,Sebastien Edit,0.508,https://api.spotify.com/v1/audio-analysis/4Tx5IQtg2f1vcEGbufmApw,0.696,260534.0,0.535,4Tx5IQtg2f1vcEGbufmApw,0.48,2.0,0.393,-8.727,1.0,0.0535,120.001,4.0,https://api.spotify.com/v1/tracks/4Tx5IQtg2f1vcEGbufmApw,audio_features,spotify:track:4Tx5IQtg2f1vcEGbufmApw,0.135
13,andhim, Boy Boy Boy  ,unknown,0.00134,https://api.spotify.com/v1/audio-analysis/4mhO4N2YlUxroVOJZKUyJZ,0.713,409379.0,0.645,4mhO4N2YlUxroVOJZKUyJZ,0.924,7.0,0.219,-8.801,0.0,0.0376,119.998,4.0,https://api.spotify.com/v1/tracks/4mhO4N2YlUxroVOJZKUyJZ,audio_features,spotify:track:4mhO4N2YlUxroVOJZKUyJZ,0.462
14,Watermät, Bullit  ,unknown,0.127,https://api.spotify.com/v1/audio-analysis/0HFmNBn8c5oHCkg8oEjEEA,0.556,195000.0,0.745,0HFmNBn8c5oHCkg8oEjEEA,0.372,5.0,0.0954,-4.254,1.0,0.0745,122.035,4.0,https://api.spotify.com/v1/tracks/0HFmNBn8c5oHCkg8oEjEEA,audio_features,spotify:track:0HFmNBn8c5oHCkg8oEjEEA,0.426
15,Todd Terje, Spiral  ,unknown,0.0145,https://api.spotify.com/v1/audio-analysis/2oMbSBI26ulgoDoj3Xcgwn,0.747,627608.0,0.703,2oMbSBI26ulgoDoj3Xcgwn,0.778,0.0,0.0505,-8.997,0.0,0.042,120.002,4.0,https://api.spotify.com/v1/tracks/2oMbSBI26ulgoDoj3Xcgwn,audio_features,spotify:track:2oMbSBI26ulgoDoj3Xcgwn,0.334
16,Tocadisco, Weltmeister  ,unknown,0.00293,https://api.spotify.com/v1/audio-analysis/58O0gR6qb1dJTTTwyosRBd,0.771,338640.0,0.721,58O0gR6qb1dJTTTwyosRBd,0.822,7.0,0.0778,-6.243,1.0,0.11,125.01,3.0,https://api.spotify.com/v1/tracks/58O0gR6qb1dJTTTwyosRBd,audio_features,spotify:track:58O0gR6qb1dJTTTwyosRBd,0.328
17,Alex Metric Oliver, Hope  ,unknown,0.00011,https://api.spotify.com/v1/audio-analysis/6FQt64CUdNfQMWXEcpZtAt,0.802,278400.0,0.919,6FQt64CUdNfQMWXEcpZtAt,0.105,0.0,0.107,-3.107,1.0,0.0592,124.994,4.0,https://api.spotify.com/v1/tracks/6FQt64CUdNfQMWXEcpZtAt,audio_features,spotify:track:6FQt64CUdNfQMWXEcpZtAt,0.398
