,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sam Feldt   Kimberly Anne, Show Me Love  ,unknown,0.287,https://api.spotify.com/v1/audio-analysis/4bAmAVdks2Y84VNVVLXFwN,0.596,180336.0,0.666,4bAmAVdks2Y84VNVVLXFwN,0.000454,0.0,0.0733,-5.825,1.0,0.0943,117.057,4.0,https://api.spotify.com/v1/tracks/4bAmAVdks2Y84VNVVLXFwN,audio_features,spotify:track:4bAmAVdks2Y84VNVVLXFwN,0.708
1,Lady Bee   Rochelle, Return Of The Mack ,Oliver Heldens Remix,0.000872,https://api.spotify.com/v1/audio-analysis/2x8FUv8gSjGgI00dP4fFTA,0.643,263479.0,0.964,2x8FUv8gSjGgI00dP4fFTA,0.00123,4.0,0.829,-4.136,0.0,0.0724,124.954,4.0,https://api.spotify.com/v1/tracks/2x8FUv8gSjGgI00dP4fFTA,audio_features,spotify:track:2x8FUv8gSjGgI00dP4fFTA,0.791
2,Pep Rash, Rumors  ,unknown,0.00187,https://api.spotify.com/v1/audio-analysis/7tu6IpmSey65T1TLcViLuQ,0.778,171545.0,0.807,7tu6IpmSey65T1TLcViLuQ,0.00907,5.0,0.22,-4.478,0.0,0.0465,124.948,4.0,https://api.spotify.com/v1/tracks/7tu6IpmSey65T1TLcViLuQ,audio_features,spotify:track:7tu6IpmSey65T1TLcViLuQ,0.412
3,BORGEOUS   Julia Michaels, They Don't Know Us  ,unknown,0.148,https://api.spotify.com/v1/audio-analysis/1VbsTAaQqZQaFX2WiwWP0H,0.571,197268.0,0.847,1VbsTAaQqZQaFX2WiwWP0H,0.0,0.0,0.1,-3.753,0.0,0.121,128.048,4.0,https://api.spotify.com/v1/tracks/1VbsTAaQqZQaFX2WiwWP0H,audio_features,spotify:track:1VbsTAaQqZQaFX2WiwWP0H,0.344
4,Martin Solveig GTA, Intoxicated  ,unknown,0.00435,https://api.spotify.com/v1/audio-analysis/0dbQ4h3cs8QE5fOPMYdDrX,0.792,159560.0,0.688,0dbQ4h3cs8QE5fOPMYdDrX,0.00477,0.0,0.0972,-4.008,1.0,0.0386,124.987,4.0,https://api.spotify.com/v1/tracks/0dbQ4h3cs8QE5fOPMYdDrX,audio_features,spotify:track:0dbQ4h3cs8QE5fOPMYdDrX,0.502
5,KURA, Blow Out  ,SPINNIN',0.0219,https://api.spotify.com/v1/audio-analysis/1xyfgOmqalOyQOs6T8yXl6,0.738,277500.0,0.925,1xyfgOmqalOyQOs6T8yXl6,0.072,5.0,0.0841,-5.724,0.0,0.0675,128.004,4.0,https://api.spotify.com/v1/tracks/1xyfgOmqalOyQOs6T8yXl6,audio_features,spotify:track:1xyfgOmqalOyQOs6T8yXl6,0.263
6,Julian Jordan, The Takedown  ,SPINNIN',5.24e-05,https://api.spotify.com/v1/audio-analysis/0tDD9whda3IAvxZiqjYA9b,0.651,291062.0,0.958,0tDD9whda3IAvxZiqjYA9b,0.122,7.0,0.141,-4.512,1.0,0.0473,127.984,4.0,https://api.spotify.com/v1/tracks/0tDD9whda3IAvxZiqjYA9b,audio_features,spotify:track:0tDD9whda3IAvxZiqjYA9b,0.112
7,La Fuente, Selecta  ,SPINNIN',0.0439,https://api.spotify.com/v1/audio-analysis/0nyd45rbPEjqUmOmMgEAgJ,0.734,172672.0,0.87,0nyd45rbPEjqUmOmMgEAgJ,0.349,4.0,0.252,-4.769,0.0,0.039,126.0,4.0,https://api.spotify.com/v1/tracks/0nyd45rbPEjqUmOmMgEAgJ,audio_features,spotify:track:0nyd45rbPEjqUmOmMgEAgJ,0.45
8,Mightyfools Mike Hawkins, Shots Fired!  ,unknown,0.00625,https://api.spotify.com/v1/audio-analysis/2GPv8PEyeguh9hQTRjLXR1,0.734,221298.0,0.965,2GPv8PEyeguh9hQTRjLXR1,0.36,11.0,0.0543,-4.498,0.0,0.115,127.991,4.0,https://api.spotify.com/v1/tracks/2GPv8PEyeguh9hQTRjLXR1,audio_features,spotify:track:2GPv8PEyeguh9hQTRjLXR1,0.373
9,Oliver Heldens Zeds Dead, You Know  ,unknown,0.573,https://api.spotify.com/v1/audio-analysis/5D0z0n4bolUy96pBX1Z7kF,0.384,229336.0,0.463,5D0z0n4bolUy96pBX1Z7kF,0.624,0.0,0.107,-8.587,1.0,0.0303,74.948,4.0,https://api.spotify.com/v1/tracks/5D0z0n4bolUy96pBX1Z7kF,audio_features,spotify:track:5D0z0n4bolUy96pBX1Z7kF,0.143
