,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Gareth Emery STANDERWICK   HALIENE, Saving Light  ,unknown,0.0707,https://api.spotify.com/v1/audio-analysis/5ILu3mqn24uAxat6j9GXKV,0.466,275646.0,0.93,5ILu3mqn24uAxat6j9GXKV,0.0009,4.0,0.33,-2.555,0.0,0.0627,129.99,4.0,https://api.spotify.com/v1/tracks/5ILu3mqn24uAxat6j9GXKV,audio_features,spotify:track:5ILu3mqn24uAxat6j9GXKV,0.134
1,Armin van Buuren   Josh Cumbee, Sunny Days ,Club Mix,0.00379,https://api.spotify.com/v1/audio-analysis/617iYpK2eQLuCLmFNvYaL5,0.604,196875.0,0.892,617iYpK2eQLuCLmFNvYaL5,0.109,4.0,0.135,-4.513,0.0,0.0357,128.019,4.0,https://api.spotify.com/v1/tracks/617iYpK2eQLuCLmFNvYaL5,audio_features,spotify:track:617iYpK2eQLuCLmFNvYaL5,0.253
2,Gabriel Dresden   Sub Teal, This Love Kills Me ,Gabriel & Dresden Club Mix / Above & Beyond Respray,0.000351,https://api.spotify.com/v1/audio-analysis/0YZcihdQXA3OPyANkuuSX2,0.534,275995.0,0.588,0YZcihdQXA3OPyANkuuSX2,4.24e-06,0.0,0.129,-12.818,1.0,0.0431,126.987,4.0,https://api.spotify.com/v1/tracks/0YZcihdQXA3OPyANkuuSX2,audio_features,spotify:track:0YZcihdQXA3OPyANkuuSX2,0.214
3,Paul van Dyk Ronald Van Gelderen   Gaelan Eric Lumiere, Everyone Needs Love ,Paul van Dyk VANDIT Club Mix,0.000152,https://api.spotify.com/v1/audio-analysis/2wHRmN9iN30cUbTlU5odzY,0.578,347826.0,0.976,2wHRmN9iN30cUbTlU5odzY,0.65,7.0,0.0542,-3.676,0.0,0.0496,138.025,4.0,https://api.spotify.com/v1/tracks/2wHRmN9iN30cUbTlU5odzY,audio_features,spotify:track:2wHRmN9iN30cUbTlU5odzY,0.195
4,Aly Fila with Ferry Tayle, Concorde  ,unknown,,,,,,,,,,,,,,,,,,
5,Andrew Rayel   Eric Lumiere, I'll Be There  ,ARMADA,,,,,,,,,,,,,,,,,,
6,Super8 Tab   Jonny Rose, Falling Into You  ,ARMADA,0.00821,https://api.spotify.com/v1/audio-analysis/5FZJcK1qSd2EQ744hazdo4,0.398,187449.0,0.829,5FZJcK1qSd2EQ744hazdo4,0.0,9.0,0.176,-3.174,0.0,0.0347,127.878,4.0,https://api.spotify.com/v1/tracks/5FZJcK1qSd2EQ744hazdo4,audio_features,spotify:track:5FZJcK1qSd2EQ744hazdo4,0.144
7,Tritonal   Laurell, Good Thing ,Vigel Remix,0.00857,https://api.spotify.com/v1/audio-analysis/5c6a7suIrf5mhU7BkaDVUx,0.567,188057.0,0.928,5c6a7suIrf5mhU7BkaDVUx,0.000224,0.0,0.27,-3.483,1.0,0.118,127.98,4.0,https://api.spotify.com/v1/tracks/5c6a7suIrf5mhU7BkaDVUx,audio_features,spotify:track:5c6a7suIrf5mhU7BkaDVUx,0.374
8,Ilan Bluestone   Giuseppe De Luca, Frozen Ground  ,unknown,0.0102,https://api.spotify.com/v1/audio-analysis/2xfiiCfk3y79yzYwbLPRyA,0.625,223500.0,0.819,2xfiiCfk3y79yzYwbLPRyA,0.000135,1.0,0.268,-5.673,0.0,0.11,130.014,4.0,https://api.spotify.com/v1/tracks/2xfiiCfk3y79yzYwbLPRyA,audio_features,spotify:track:2xfiiCfk3y79yzYwbLPRyA,0.227
9,ALPHA 9, The Night Is Ours  ,ARMADA,0.367,https://api.spotify.com/v1/audio-analysis/2nkWw7GKBkg5M6zcTcOiw3,0.347,171037.0,0.907,2nkWw7GKBkg5M6zcTcOiw3,0.531,8.0,0.635,-5.738,1.0,0.264,171.019,4.0,https://api.spotify.com/v1/tracks/2nkWw7GKBkg5M6zcTcOiw3,audio_features,spotify:track:2nkWw7GKBkg5M6zcTcOiw3,0.317
10,Dash Berlin   Haneri, We Don't Belong  ,unknown,0.137,https://api.spotify.com/v1/audio-analysis/2AeMQ7G8313RP8KrC3ot4v,0.613,186364.0,0.74,2AeMQ7G8313RP8KrC3ot4v,0.0,8.0,0.324,-2.326,1.0,0.0474,127.955,4.0,https://api.spotify.com/v1/tracks/2AeMQ7G8313RP8KrC3ot4v,audio_features,spotify:track:2AeMQ7G8313RP8KrC3ot4v,0.306
11,Ørjan Nilsen   IDA, Drowning  ,ARMADA,0.2,https://api.spotify.com/v1/audio-analysis/27tcOQD7StptvRmDPuLnxh,0.68,141563.0,0.738,27tcOQD7StptvRmDPuLnxh,0.00127,10.0,0.301,-3.618,0.0,0.147,125.021,4.0,https://api.spotify.com/v1/tracks/27tcOQD7StptvRmDPuLnxh,audio_features,spotify:track:27tcOQD7StptvRmDPuLnxh,0.233
12,Andy Moor Ashley Wallbridge, FaceOff  ,ARMADA,0.0103,https://api.spotify.com/v1/audio-analysis/5JhqfxJrWR5hYgKN4mujjQ,0.494,121844.0,0.994,5JhqfxJrWR5hYgKN4mujjQ,0.176,6.0,0.204,-4.09,0.0,0.0655,130.042,4.0,https://api.spotify.com/v1/tracks/5JhqfxJrWR5hYgKN4mujjQ,audio_features,spotify:track:5JhqfxJrWR5hYgKN4mujjQ,0.353
13,DT8 Project, Destination ,James Dymond Remix,0.0022,https://api.spotify.com/v1/audio-analysis/0PvXM1yDTyhn0PvPAPrzmA,0.434,244997.0,0.979,0PvXM1yDTyhn0PvPAPrzmA,0.000895,2.0,0.601,-5.334,1.0,0.221,138.057,4.0,https://api.spotify.com/v1/tracks/0PvXM1yDTyhn0PvPAPrzmA,audio_features,spotify:track:0PvXM1yDTyhn0PvPAPrzmA,0.0759
14,The Space Brothers   Joanna Law, Shine ,Jorn Van Deynhoven Remix,0.0149,https://api.spotify.com/v1/audio-analysis/68yqiuPVxrT9OySWFDwDDd,0.686,349963.0,0.671,68yqiuPVxrT9OySWFDwDDd,0.457,0.0,0.074,-10.185,1.0,0.0475,104.995,4.0,https://api.spotify.com/v1/tracks/68yqiuPVxrT9OySWFDwDDd,audio_features,spotify:track:68yqiuPVxrT9OySWFDwDDd,0.814
