,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Simon Fava Gregor Salto   Sergio Mendes, Magalenha  ,SPINNIN',0.0222,https://api.spotify.com/v1/audio-analysis/0cIadtlc6acyPFeWcSJlDg,0.751,209551.0,0.896,0cIadtlc6acyPFeWcSJlDg,0.000241,7.0,0.135,-3.999,1.0,0.0456,125.986,4.0,https://api.spotify.com/v1/tracks/0cIadtlc6acyPFeWcSJlDg,audio_features,spotify:track:0cIadtlc6acyPFeWcSJlDg,0.247
1,Calypso Rose   Manu Chao, Leave Me Alone ,Gregor Salto Remix,0.0276,https://api.spotify.com/v1/audio-analysis/4nYvr4nSijzcqfn5AAu8ly,0.769,254400.0,0.873,4nYvr4nSijzcqfn5AAu8ly,4.75e-06,2.0,0.0661,-4.603,1.0,0.117,124.997,4.0,https://api.spotify.com/v1/tracks/4nYvr4nSijzcqfn5AAu8ly,audio_features,spotify:track:4nYvr4nSijzcqfn5AAu8ly,0.869
2,Salty, Tic Toc ,Gregor Salto & OYE!!! Remix,,,,,,,,,,,,,,,,,,
3,Jus Now X Dismantle   Busy Signal, Fire ,Spotie,0.00288,https://api.spotify.com/v1/audio-analysis/0dmRoJWL8wL7sIog1uyTOT,0.71,140431.0,0.965,0dmRoJWL8wL7sIog1uyTOT,0.0263,1.0,0.0684,-5.391,1.0,0.0368,126.081,4.0,https://api.spotify.com/v1/tracks/0dmRoJWL8wL7sIog1uyTOT,audio_features,spotify:track:0dmRoJWL8wL7sIog1uyTOT,0.883
4,French Montana   Swae Lee, Unforgettable ,Stefan Vilijn Afrodub Mix,0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902.0,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
5,Gregor Salto Roulsen   Dudu Capoeira, Pula  ,unknown,0.000347,https://api.spotify.com/v1/audio-analysis/7vNb7Wjfw4ODQ2CfVvXeMd,0.705,185543.0,0.966,7vNb7Wjfw4ODQ2CfVvXeMd,0.548,11.0,0.274,-6.154,1.0,0.0437,126.003,4.0,https://api.spotify.com/v1/tracks/7vNb7Wjfw4ODQ2CfVvXeMd,audio_features,spotify:track:7vNb7Wjfw4ODQ2CfVvXeMd,0.368
6,David Tort Markem Yas Cepeda   Ella Loponte, Strangers  ,MUSICAL FREEDOM,0.0264,https://api.spotify.com/v1/audio-analysis/3RiK3G6mhVjriaS6X4m7EH,0.768,222581.0,0.871,3RiK3G6mhVjriaS6X4m7EH,0.743,5.0,0.25,-5.164,0.0,0.1,123.985,4.0,https://api.spotify.com/v1/tracks/3RiK3G6mhVjriaS6X4m7EH,audio_features,spotify:track:3RiK3G6mhVjriaS6X4m7EH,0.453
7,Skitzofrenix Simon Kidzoo, Mikumi  ,unknown,0.0448,https://api.spotify.com/v1/audio-analysis/2c5nPM3seGXvjzadfJ5xSn,0.822,298075.0,0.865,2c5nPM3seGXvjzadfJ5xSn,0.0418,9.0,0.0543,-6.253,0.0,0.233,124.007,4.0,https://api.spotify.com/v1/tracks/2c5nPM3seGXvjzadfJ5xSn,audio_features,spotify:track:2c5nPM3seGXvjzadfJ5xSn,0.765
8,Rishi Bass, El Bajo Grande ,Tribal Mix,0.00439,https://api.spotify.com/v1/audio-analysis/4IXPLc5F8EKOy1Ej1ZgoPv,0.795,303360.0,0.839,4IXPLc5F8EKOy1Ej1ZgoPv,0.167,6.0,0.0897,-7.758,1.0,0.0922,125.001,4.0,https://api.spotify.com/v1/tracks/4IXPLc5F8EKOy1Ej1ZgoPv,audio_features,spotify:track:4IXPLc5F8EKOy1Ej1ZgoPv,0.446
9,Gregor Salto Kuenta I Tambu, Otro Dia  ,MOGANGA,0.0328,https://api.spotify.com/v1/audio-analysis/3laFi85GPtASV1W19w10Fh,0.889,351496.0,0.834,3laFi85GPtASV1W19w10Fh,0.0389,10.0,0.0689,-7.59,0.0,0.0762,126.994,4.0,https://api.spotify.com/v1/tracks/3laFi85GPtASV1W19w10Fh,audio_features,spotify:track:3laFi85GPtASV1W19w10Fh,0.311
