,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,London Grammar, Big Picture ,Gui Boratto Rework,0.537,https://api.spotify.com/v1/audio-analysis/0NFWtz2rH715cH3PxRIAaJ,0.683,425707.0,0.753,0NFWtz2rH715cH3PxRIAaJ,0.6,0.0,0.0927,-8.28,1.0,0.0359,117.003,4.0,https://api.spotify.com/v1/tracks/0NFWtz2rH715cH3PxRIAaJ,audio_features,spotify:track:0NFWtz2rH715cH3PxRIAaJ,0.324
1,Chris Malinchak, Wonderful  ,unknown,0.00172,https://api.spotify.com/v1/audio-analysis/2c4POsMK3lOiTC2RLPXtsP,0.712,209387.0,0.402,2c4POsMK3lOiTC2RLPXtsP,0.00272,0.0,0.122,-12.649,1.0,0.0392,120.0,4.0,https://api.spotify.com/v1/tracks/2c4POsMK3lOiTC2RLPXtsP,audio_features,spotify:track:2c4POsMK3lOiTC2RLPXtsP,0.205
2,Durante, Wolf Country  ,unknown,0.00265,https://api.spotify.com/v1/audio-analysis/38K0R72OwsLGBhcn6uCkdX,0.802,354551.0,0.766,38K0R72OwsLGBhcn6uCkdX,0.0731,11.0,0.349,-7.539,0.0,0.0509,122.009,4.0,https://api.spotify.com/v1/tracks/38K0R72OwsLGBhcn6uCkdX,audio_features,spotify:track:38K0R72OwsLGBhcn6uCkdX,0.822
3,KC Lights, Sundown  ,unknown,0.172,https://api.spotify.com/v1/audio-analysis/63AFfnxaArGG7BUaxOX5W4,0.621,182822.0,0.916,63AFfnxaArGG7BUaxOX5W4,0.0,4.0,0.146,-3.573,0.0,0.0427,123.989,4.0,https://api.spotify.com/v1/tracks/63AFfnxaArGG7BUaxOX5W4,audio_features,spotify:track:63AFfnxaArGG7BUaxOX5W4,0.562
4,Tchami, Adieu  ,unknown,0.0464,https://api.spotify.com/v1/audio-analysis/3de3pLWU48fpTNlSuM6tyR,0.718,413333.0,0.747,3de3pLWU48fpTNlSuM6tyR,0.641,11.0,0.0772,-4.932,0.0,0.0409,125.982,4.0,https://api.spotify.com/v1/tracks/3de3pLWU48fpTNlSuM6tyR,audio_features,spotify:track:3de3pLWU48fpTNlSuM6tyR,0.325
5,Fort Arkansas, Eivissa  ,unknown,0.00127,https://api.spotify.com/v1/audio-analysis/16G1iTmzX7ocPxWW6KkkoT,0.76,219634.0,0.924,16G1iTmzX7ocPxWW6KkkoT,0.912,2.0,0.0647,-3.597,1.0,0.0424,122.991,4.0,https://api.spotify.com/v1/tracks/16G1iTmzX7ocPxWW6KkkoT,audio_features,spotify:track:16G1iTmzX7ocPxWW6KkkoT,0.479
6,Funkerman Cooperated Souls, Bad Boy Beat  ,unknown,0.0318,https://api.spotify.com/v1/audio-analysis/04iFjojgYvP3BDbktk4Nj1,0.699,166921.0,0.879,04iFjojgYvP3BDbktk4Nj1,0.0893,11.0,0.349,-6.98,0.0,0.0887,124.017,4.0,https://api.spotify.com/v1/tracks/04iFjojgYvP3BDbktk4Nj1,audio_features,spotify:track:04iFjojgYvP3BDbktk4Nj1,0.5
7,Zedd Alessia Cara, Stay ,Petit Biscuit Remix,0.38,https://api.spotify.com/v1/audio-analysis/3EV0Eo3m7nd74rXuSIi08s,0.753,241702.0,0.579,3EV0Eo3m7nd74rXuSIi08s,0.0,9.0,0.176,-6.253,1.0,0.127,105.054,4.0,https://api.spotify.com/v1/tracks/3EV0Eo3m7nd74rXuSIi08s,audio_features,spotify:track:3EV0Eo3m7nd74rXuSIi08s,0.334
8,Tchami   Luke James, World To Me  ,unknown,0.00282,https://api.spotify.com/v1/audio-analysis/0cxzF0VFSeg5xnNgHPKuDU,0.719,302951.0,0.721,0cxzF0VFSeg5xnNgHPKuDU,0.00711,11.0,0.0962,-4.798,1.0,0.049,122.013,4.0,https://api.spotify.com/v1/tracks/0cxzF0VFSeg5xnNgHPKuDU,audio_features,spotify:track:0cxzF0VFSeg5xnNgHPKuDU,0.63
9,Leo Stannard, In My Blood ,KANT Club Mix,0.0186,https://api.spotify.com/v1/audio-analysis/22dv4e66nulRg6xXQddD49,0.809,380867.0,0.582,22dv4e66nulRg6xXQddD49,0.774,3.0,0.0565,-8.636,0.0,0.0483,121.009,4.0,https://api.spotify.com/v1/tracks/22dv4e66nulRg6xXQddD49,audio_features,spotify:track:22dv4e66nulRg6xXQddD49,0.349
10,Fatima Yamaha, What's A Girl To Do  ,unknown,,,,,,,,,,,,,,,,,,
11,Nora En Pure, Morning Dew  ,unknown,0.0158,https://api.spotify.com/v1/audio-analysis/6lPhnamoOdxOg7jQ3gSWOa,0.79,213480.0,0.839,6lPhnamoOdxOg7jQ3gSWOa,0.85,0.0,0.35,-5.926,0.0,0.0351,121.98,4.0,https://api.spotify.com/v1/tracks/6lPhnamoOdxOg7jQ3gSWOa,audio_features,spotify:track:6lPhnamoOdxOg7jQ3gSWOa,0.112
12,Goldfish, If I Could Find  ,unknown,0.00544,https://api.spotify.com/v1/audio-analysis/4DPaasIEdcYC6N81QIz2vZ,0.575,188885.0,0.743,4DPaasIEdcYC6N81QIz2vZ,0.00295,6.0,0.0674,-6.147,1.0,0.0393,124.88,4.0,https://api.spotify.com/v1/tracks/4DPaasIEdcYC6N81QIz2vZ,audio_features,spotify:track:4DPaasIEdcYC6N81QIz2vZ,0.433
13,Kyle Watson   Apple Gule, Solace  ,unknown,0.196,https://api.spotify.com/v1/audio-analysis/6Ai5x8QqLOwrbqm67Q8ldW,0.698,213500.0,0.584,6Ai5x8QqLOwrbqm67Q8ldW,4.98e-05,5.0,0.0844,-10.745,0.0,0.0771,123.022,4.0,https://api.spotify.com/v1/tracks/6Ai5x8QqLOwrbqm67Q8ldW,audio_features,spotify:track:6Ai5x8QqLOwrbqm67Q8ldW,0.253
14,Ferreck Dawn AXRG, Saga  ,unknown,0.00107,https://api.spotify.com/v1/audio-analysis/07Pz9wf9kAxRt9dhlWK0sY,0.751,208525.0,0.997,07Pz9wf9kAxRt9dhlWK0sY,0.842,5.0,0.218,-3.41,0.0,0.0717,122.018,4.0,https://api.spotify.com/v1/tracks/07Pz9wf9kAxRt9dhlWK0sY,audio_features,spotify:track:07Pz9wf9kAxRt9dhlWK0sY,0.345
15,Armand Van Helden KOMES, Fried Chicken  ,MINISTRY OF SOUND,0.0477,https://api.spotify.com/v1/audio-analysis/1AEZhTnUCUIiQkUFkRKE3V,0.793,159628.0,0.847,1AEZhTnUCUIiQkUFkRKE3V,0.00057,0.0,0.0809,-3.212,1.0,0.258,125.015,4.0,https://api.spotify.com/v1/tracks/1AEZhTnUCUIiQkUFkRKE3V,audio_features,spotify:track:1AEZhTnUCUIiQkUFkRKE3V,0.74
16,Lizzy Land, Sweet Melodies ,Schier Remix,0.626,https://api.spotify.com/v1/audio-analysis/0kLH6LddJmVAlLM37zNqxf,0.67,186207.0,0.614,0kLH6LddJmVAlLM37zNqxf,0.0,9.0,0.146,-5.826,0.0,0.0396,87.007,4.0,https://api.spotify.com/v1/tracks/0kLH6LddJmVAlLM37zNqxf,audio_features,spotify:track:0kLH6LddJmVAlLM37zNqxf,0.708
17,Mura Masa   Nao, Firefly  ,unknown,0.431,https://api.spotify.com/v1/audio-analysis/2s9C5THb9llwyVXtjveV4E,0.783,228000.0,0.442,2s9C5THb9llwyVXtjveV4E,1.5e-06,10.0,0.0529,-9.215,1.0,0.131,109.973,4.0,https://api.spotify.com/v1/tracks/2s9C5THb9llwyVXtjveV4E,audio_features,spotify:track:2s9C5THb9llwyVXtjveV4E,0.448
