,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Husman Renstone ANG, Can't Hold Us  ,unknown,0.000744,https://api.spotify.com/v1/audio-analysis/7GRu6XaTVRIdV4E0Ty4QGX,0.556,90906.0,0.871,7GRu6XaTVRIdV4E0Ty4QGX,0.00498,10.0,0.253,-6.351,1.0,0.0752,128.044,4.0,https://api.spotify.com/v1/tracks/7GRu6XaTVRIdV4E0Ty4QGX,audio_features,spotify:track:7GRu6XaTVRIdV4E0Ty4QGX,0.219
1,NWYR, Dragon  ,unknown,0.0122,https://api.spotify.com/v1/audio-analysis/3nClnL9F0yg0sn5T5N5FBo,0.428,216364.0,0.886,3nClnL9F0yg0sn5T5N5FBo,0.779,2.0,0.272,-3.908,0.0,0.208,132.176,4.0,https://api.spotify.com/v1/tracks/3nClnL9F0yg0sn5T5N5FBo,audio_features,spotify:track:3nClnL9F0yg0sn5T5N5FBo,0.108
2,TWIIG, Jumpstarter  ,ARMADA,0.00134,https://api.spotify.com/v1/audio-analysis/4t2TNNBH1AJE4Q2ameb0U1,0.572,239756.0,0.966,4t2TNNBH1AJE4Q2ameb0U1,0.0127,7.0,0.113,-2.31,1.0,0.0599,127.976,4.0,https://api.spotify.com/v1/tracks/4t2TNNBH1AJE4Q2ameb0U1,audio_features,spotify:track:4t2TNNBH1AJE4Q2ameb0U1,0.363
3,Simon Lee Alvin, Poweriser  ,unknown,0.00411,https://api.spotify.com/v1/audio-analysis/0DEkzhyAw8tvrEGSvcsh9l,0.468,178125.0,0.973,0DEkzhyAw8tvrEGSvcsh9l,0.812,1.0,0.292,-4.785,1.0,0.0395,127.944,4.0,https://api.spotify.com/v1/tracks/0DEkzhyAw8tvrEGSvcsh9l,audio_features,spotify:track:0DEkzhyAw8tvrEGSvcsh9l,0.269
4,Omnia   Danyka Nadeau, Hold On To You  ,ARMADA,0.0904,https://api.spotify.com/v1/audio-analysis/3iWBABa6HflnKv34fGYOyH,0.544,220576.0,0.812,3iWBABa6HflnKv34fGYOyH,3.89e-06,8.0,0.187,-4.199,1.0,0.0782,125.989,4.0,https://api.spotify.com/v1/tracks/3iWBABa6HflnKv34fGYOyH,audio_features,spotify:track:3iWBABa6HflnKv34fGYOyH,0.268
5,JES Tenishia, Here & Now  ,BLACK HOLE,0.00263,https://api.spotify.com/v1/audio-analysis/5ZyKgxD9eqe7tlGoJyBFot,0.705,361441.0,0.729,5ZyKgxD9eqe7tlGoJyBFot,8.69e-05,11.0,0.836,-6.948,0.0,0.0574,127.997,4.0,https://api.spotify.com/v1/tracks/5ZyKgxD9eqe7tlGoJyBFot,audio_features,spotify:track:5ZyKgxD9eqe7tlGoJyBFot,0.216
6,Andrew Rayel Max Vangeli   Kye Sones, Heavy Love  ,ARMADA,0.000517,https://api.spotify.com/v1/audio-analysis/1I3MofQkucnSQduOBdGr2B,0.429,212333.0,0.638,1I3MofQkucnSQduOBdGr2B,1.17e-05,2.0,0.141,-7.057,0.0,0.0408,130.113,4.0,https://api.spotify.com/v1/tracks/1I3MofQkucnSQduOBdGr2B,audio_features,spotify:track:1I3MofQkucnSQduOBdGr2B,0.276
7,Bobby Neon, The Shadows  ,unknown,0.0578,https://api.spotify.com/v1/audio-analysis/04eMJ8sneEL58XQADbQSEJ,0.315,136562.0,0.538,04eMJ8sneEL58XQADbQSEJ,0.872,2.0,0.192,-12.119,1.0,0.0586,130.078,4.0,https://api.spotify.com/v1/tracks/04eMJ8sneEL58XQADbQSEJ,audio_features,spotify:track:04eMJ8sneEL58XQADbQSEJ,0.0387
8,JES, Photograph ,Simon Lee & Alvin Remix,0.00285,https://api.spotify.com/v1/audio-analysis/4IqrNgThbPsOkm3ZPLHlJp,0.503,219692.0,0.859,4IqrNgThbPsOkm3ZPLHlJp,0.00329,1.0,0.344,-5.858,0.0,0.0414,129.937,4.0,https://api.spotify.com/v1/tracks/4IqrNgThbPsOkm3ZPLHlJp,audio_features,spotify:track:4IqrNgThbPsOkm3ZPLHlJp,0.163
9,Fahjah Emma Chatt, What We Could've Been  ,unknown,0.00517,https://api.spotify.com/v1/audio-analysis/21femQH1AySez69vfcT0MF,0.369,194769.0,0.656,21femQH1AySez69vfcT0MF,0.000216,1.0,0.412,-5.145,0.0,0.0476,130.089,4.0,https://api.spotify.com/v1/tracks/21femQH1AySez69vfcT0MF,audio_features,spotify:track:21femQH1AySez69vfcT0MF,0.358
