,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Stoneface Terminal pres. Gundamea, The Moment Before  ,unknown,0.217,https://api.spotify.com/v1/audio-analysis/2dKHPDImKzHDKItVzj1anx,0.297,196812.0,0.881,2dKHPDImKzHDKItVzj1anx,0.563,9.0,0.82,-5.635,0.0,0.0532,124.005,4.0,https://api.spotify.com/v1/tracks/2dKHPDImKzHDKItVzj1anx,audio_features,spotify:track:2dKHPDImKzHDKItVzj1anx,0.432
1,Stoneface Terminal, Deepox  ,unknown,2.71e-05,https://api.spotify.com/v1/audio-analysis/1fxDISlnQd8IVFcT0Lq06H,0.513,462356.0,0.864,1fxDISlnQd8IVFcT0Lq06H,0.568,6.0,0.1,-11.655,1.0,0.0728,136.096,4.0,https://api.spotify.com/v1/tracks/1fxDISlnQd8IVFcT0Lq06H,audio_features,spotify:track:1fxDISlnQd8IVFcT0Lq06H,0.108
2,Stoneface Terminal, Southern Lights  ,unknown,4.23e-05,https://api.spotify.com/v1/audio-analysis/6yYWr6UUTFhyXBAKSgX5ak,0.439,220446.0,0.944,6yYWr6UUTFhyXBAKSgX5ak,0.926,6.0,0.0694,-7.466,1.0,0.0486,135.048,4.0,https://api.spotify.com/v1/tracks/6yYWr6UUTFhyXBAKSgX5ak,audio_features,spotify:track:6yYWr6UUTFhyXBAKSgX5ak,0.0362
3,Stoneface Terminal, North Cape  ,unknown,1.55e-05,https://api.spotify.com/v1/audio-analysis/27zuYFIIU4Df6xkuKM4D14,0.468,361654.0,0.7,27zuYFIIU4Df6xkuKM4D14,0.967,2.0,0.292,-11.681,0.0,0.059,138.047,4.0,https://api.spotify.com/v1/tracks/27zuYFIIU4Df6xkuKM4D14,audio_features,spotify:track:27zuYFIIU4Df6xkuKM4D14,0.0747
4,Stoneface Terminal, Bolide  ,unknown,8.23e-05,https://api.spotify.com/v1/audio-analysis/2bBOw7LkqbtON6xsaEijyU,0.523,453611.0,0.876,2bBOw7LkqbtON6xsaEijyU,0.765,7.0,0.702,-6.467,1.0,0.0393,140.006,4.0,https://api.spotify.com/v1/tracks/2bBOw7LkqbtON6xsaEijyU,audio_features,spotify:track:2bBOw7LkqbtON6xsaEijyU,0.282
5,Stoneface Terminal, Berlin '99  ,unknown,0.000782,https://api.spotify.com/v1/audio-analysis/3SPSfnDF2mBucjjF8AMBJZ,0.499,244723.0,0.982,3SPSfnDF2mBucjjF8AMBJZ,0.827,4.0,0.132,-6.061,0.0,0.0766,140.023,4.0,https://api.spotify.com/v1/tracks/3SPSfnDF2mBucjjF8AMBJZ,audio_features,spotify:track:3SPSfnDF2mBucjjF8AMBJZ,0.0388
6,Stoneface Terminal, Beast In The Machine  ,unknown,2.03e-05,https://api.spotify.com/v1/audio-analysis/6ncGVaEQGoKelzFhsG1A1f,0.594,368571.0,0.966,6ncGVaEQGoKelzFhsG1A1f,0.626,6.0,0.671,-4.77,0.0,0.0476,140.021,4.0,https://api.spotify.com/v1/tracks/6ncGVaEQGoKelzFhsG1A1f,audio_features,spotify:track:6ncGVaEQGoKelzFhsG1A1f,0.416
7,Stoneface Terminal, Analog 21  ,unknown,2.89e-05,https://api.spotify.com/v1/audio-analysis/3gLWxcaMqBsldlI1ODyTFz,0.522,238910.0,0.922,3gLWxcaMqBsldlI1ODyTFz,0.494,7.0,0.194,-11.635,1.0,0.104,138.014,4.0,https://api.spotify.com/v1/tracks/3gLWxcaMqBsldlI1ODyTFz,audio_features,spotify:track:3gLWxcaMqBsldlI1ODyTFz,0.107
8,Stoneface Terminal, So What  ,unknown,0.0115,https://api.spotify.com/v1/audio-analysis/0naMP2u5AM6y8T6Q6wAmST,0.633,359984.0,0.997,0naMP2u5AM6y8T6Q6wAmST,0.738,1.0,0.289,-5.694,1.0,0.119,140.037,4.0,https://api.spotify.com/v1/tracks/0naMP2u5AM6y8T6Q6wAmST,audio_features,spotify:track:0naMP2u5AM6y8T6Q6wAmST,0.288
9,Stoneface Terminal Fenna Day, A Spring Of Hope  ,unknown,0.000235,https://api.spotify.com/v1/audio-analysis/440kqSzIGTT8g76uPWGmW6,0.43,216000.0,0.976,440kqSzIGTT8g76uPWGmW6,0.224,11.0,0.712,-4.927,0.0,0.0716,135.982,4.0,https://api.spotify.com/v1/tracks/440kqSzIGTT8g76uPWGmW6,audio_features,spotify:track:440kqSzIGTT8g76uPWGmW6,0.0817
